Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          -0.3772      -0.6412       0.2640   340.4
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          -0.3772      -0.6412       0.2640   340.4
0.0010          -0.3772      -0.6495       0.2723   351.2
0.0020          -0.3771      -0.6594       0.2822   363.9
0.0030          -0.3771      -0.6708       0.2937   378.7
0.0040          -0.3770      -0.6841       0.3071   396.0
0.0050          -0.3768      -0.6995       0.3226   416.0
0.0060          -0.3767      -0.7172       0.3405   439.1
0.0070          -0.3765      -0.7378       0.3613   465.8
0.0080          -0.3763      -0.7615       0.3852   496.7
0.0090          -0.3760      -0.7891       0.4131   532.7
0.0100          -0.3757      -0.8213       0.4456   574.5
0.0100          -0.3757      -0.8213       0.4456   574.5
0.0110          -0.3754      -0.8589       0.4835   623.5
0.0120          -0.3750      -0.9032       0.5282   681.1
0.0130          -0.3746      -0.9556       0.5811   749.2
0.0140          -0.3741      -1.0182       0.6442   830.6
0.0150          -0.3736      -1.0936       0.7200   928.3
0.0160          -0.3731      -1.1846       0.8115  1046.4
0.0170          -0.3727      -1.2953       0.9227  1189.7
0.0180          -0.3725      -1.4305       1.0580  1364.2
0.0190          -0.3728      -1.5943       1.2215  1575.0
0.0200          -0.3745      -1.7876       1.4131  1822.0
0.0200          -0.3745      -1.7876       1.4131  1822.0
0.0210          -0.3796      -1.9984       1.6188  2087.2
0.0220          -0.3917      -2.1793       1.7876  2304.9
0.0230          -0.4109      -2.2110       1.8001  2321.0
0.0240          -0.4079      -1.9541       1.5462  1993.7
0.0250          -0.3778      -1.6498       1.2720  1640.1
0.0260          -0.4380      -1.7139       1.2759  1645.1
0.0270          -0.4280      -1.5952       1.1672  1505.0
0.0280          -0.3798      -1.5302       1.1504  1483.3
0.0290          -0.4487      -2.0432       1.5945  2055.9
0.0300          -0.4540      -2.3545       1.9006  2450.6
0.0300          -0.4540      -2.3545       1.9006  2450.6
0.0310          -0.4441      -2.3047       1.8606  2399.0
0.0320          -0.4455      -2.1132       1.6677  2150.3
0.0330          -0.4530      -1.9074       1.4544  1875.3
0.0340          -0.4622      -1.7288       1.2666  1633.1
0.0350          -0.4713      -1.5846       1.1133  1435.4
0.0360          -0.4799      -1.4718       0.9919  1278.9
0.0370          -0.4878      -1.3851       0.8973  1156.9
0.0380          -0.4952      -1.3197       0.8245  1063.2
0.0390          -0.5021      -1.2719       0.7697   992.5
0.0400          -0.5087      -1.2385       0.7298   941.0
0.0400          -0.5087      -1.2385       0.7298   941.0
0.0410          -0.5150      -1.2176       0.7025   905.8
0.0420          -0.5212      -1.2075       0.6863   884.9
0.0430          -0.5274      -1.2074       0.6800   876.8
0.0440          -0.5335      -1.2167       0.6831   880.8
0.0450          -0.5399      -1.2352       0.6953   896.5
0.0460          -0.5464      -1.2631       0.7167   924.2
0.0470          -0.5532      -1.3007       0.7476   963.9
0.0480          -0.5603      -1.3489       0.7886  1016.8
0.0490          -0.5680      -1.4089       0.8409  1084.2
0.0500          -0.5764      -1.4818       0.9054  1167.5
0.0500          -0.5764      -1.4818       0.9054  1167.5
0.0510          -0.5856      -1.5695       0.9839  1268.7
0.0520          -0.5959      -1.6740       1.0782  1390.2
0.0530          -0.6075      -1.7975       1.1900  1534.4
0.0540          -0.6208      -1.9417       1.3209  1703.1
0.0550          -0.6364      -2.1067       1.4703  1895.8
0.0560          -0.6551      -2.2887       1.6336  2106.4
0.0570          -0.6779      -2.4743       1.7965  2316.3
0.0580          -0.7059      -2.6311       1.9252  2482.4
0.0590          -0.7387      -2.6964       1.9577  2524.2
0.0600          -0.7697      -2.5857       1.8160  2341.5
0.0600          -0.7697      -2.5857       1.8160  2341.5
0.0610          -0.7836      -2.2781       1.4946  1927.1
0.0620          -0.7830      -1.9678       1.1848  1527.6
0.0630          -0.7968      -1.9585       1.1617  1497.9
0.0640          -0.8298      -2.3099       1.4801  1908.5
0.0650          -0.8767      -2.8006       1.9239  2480.6
0.0660          -0.9250      -3.0931       2.1681  2795.5
0.0670          -0.9583      -2.9432       1.9848  2559.2
0.0680          -0.9387      -2.4522       1.5135  1951.5
0.0690          -0.9539      -2.3130       1.3590  1752.3
0.0700          -1.0217      -2.6285       1.6067  2071.7
0.0700          -1.0217      -2.6285       1.6067  2071.7
0.0710          -1.0470      -2.7943       1.7473  2253.0
0.0720          -1.0634      -2.7219       1.6585  2138.5
0.0730          -1.0838      -2.5498       1.4660  1890.2
0.0740          -1.1050      -2.3650       1.2600  1624.6
0.0750          -1.1246      -2.1999       1.0753  1386.5
0.0760          -1.1417      -2.0623       0.9206  1187.1
0.0770          -1.1563      -1.9516       0.7953  1025.4
0.0780          -1.1689      -1.8648       0.6959   897.3
0.0790          -1.1798      -1.7988       0.6190   798.2
0.0800          -1.1892      -1.7508       0.5615   724.0
0.0800          -1.1892      -1.7508       0.5615   724.0
0.0810          -1.1977      -1.7187       0.5210   671.8
0.0820          -1.2054      -1.7011       0.4957   639.2
0.0830          -1.2125      -1.6969       0.4844   624.6
0.0840          -1.2194      -1.7057       0.4864   627.1
0.0850          -1.2262      -1.7276       0.5014   646.5
0.0860          -1.2330      -1.7627       0.5297   683.0
0.0870          -1.2400      -1.8115       0.5715   736.9
0.0880          -1.2473      -1.8748       0.6275   809.1
