Competing phases for TiO2  (energy_above_hull <= 0.01 eV/atom)
  Formula               mp_id                      Spacegroup    SG#  N_atoms
  --------------------------------------------------------------------------------
  TiO2                  mp-554278-GGA              C2/m          12    12
  Ti                    mp-72-GGA                  P6/mmm        191   3
  O2                    None                       P4/mmm        123   2
  Ti2O3                 mp-458-GGA                 R-3c          167   10
  Ti3O5                 mp-1147-GGA                C2/m          12    16
  Ti                    mp-46-GGA                  P6_3/mmc      194   2
  Ti4O7                 mp-12205-GGA               P-1           2     22
  Ti3O5                 mp-8057-GGA                Cmcm          63    16
  Ti6O11                mp-559964-GGA              C2/m          12    34
  TiO2                  mp-390-GGA                 I4_1/amd      141   6
  Ti5O9                 mp-748-GGA                 P-1           2     28
  Ti3O5                 mp-556480-GGA              C2/m          12    16
  TiO2                  mp-34688-GGA               C2/c          15    6
  Ti8O13                mp-752989-GGA              R-3           148   21
  Ti6O11                mp-30524-GGA               P-1           2     34
