Oxide Data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,Part-1,,,,Part-2,,,,Part-3,,,,Part-4,,,,Part-5,,,,Part-6,,,,Part-7,,
1.0,Bi,"T, K","DGo , Kcal/mol",,Mn,"T, K","DGo , Kcal/mol",,Rh,"T, K","DGo , Kcal/mol",,V,"T, K","DGo , Kcal/mol",,Ir,"T, K","DGo , Kcal/mol",,Cr,"T, K","DGo , Kcal/mol",,In,"T, K","DGo , Kcal/mol"
,4Bi3O4+O2 = 6Bi2O3,0,0.7999999999999545,, 2Mn2O3 + O2 = 4MnO2,0,-36.5,,4/3Rh + O2 = 2/3Rh2O3,0,-42,,V2O3 + O2 = V2O5,1610,-33.29628862695127,,2/3Ir + O2 = 2/3IrO3,0,-43,,2Cr2O3 + O2 = 4CrO2 ,0,-26.5,,4/3In + O2 = 2/3In2O3,0,-148
,M,1098,-8.282285714285706,,,1120,43.28378378378375,,,1050,-0.001,,M,1818,-32.275550636596336,,,1090,-0.0001,,M,1660,40.95863970588232,,m,429,-127
,,1400,-14.247214854111405,,,,,,,,,,,,,,,,,,,,,,M,2183,-41.3
,,,,,,,,,,,,,,,,,,,,,,,,,b,2364,-33
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Ag,"T, K","DGo , Kcal/mol",,Cu,"T, K","DGo , Kcal/mol",,Tb,"T, K","DGo , Kcal/mol",,C,"T, K","DGo , Kcal/mol",,Os,"T, K","DGo , Kcal/mol",,Cr,"T, K","DGo , Kcal/mol",,K,"T, K","DGo , Kcal/mol"
,4Ag + O2 = 2Ag2O,0,-14,,Cu2O + O2 = 2CuO,0,-69,,4.762Tb2O3 + O2 = 9.524TbO1.709,0,-47.30253333333303,,2C + O2 = 2CO,0,-53.4,,Os + O2 = OsO2,0,-62,,4/3Cr +O2 = 2/3Cr2O3,0,-178.5,,4K + O2 = 2K2O,0,-172
,,480,-0.001,,m,1509,3.841269841269842,,,1638,39.46151367521338,,,3400,-195.9,,,923,-23,,m,2176,-90,,m,336,-151
,,,,,M,1609,7.133198789101918,,,,,,,,,,,,,,b,2495,-77.5,,M,980,-107
,,,,,,,,,,,,,,,,,,,,,M,2603,-75.5,,b,1031,-104
,,,,,,,,,,,,,,,,,,,,,,,,,B,1325,-71
,,,,,,,,,,,,,,,,,,,,,,,,,,2160,-0.001
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Pt,"T, K","DGo , Kcal/mol",,Cu,"T, K","DGo , Kcal/mol",,As,"T, K","DGo , Kcal/mol",,V,"T, K","DGo , Kcal/mol",,Te,"T, K","DGo , Kcal/mol",,Na,"T, K","DGo , Kcal/mol",,B,"T, K","DGo , Kcal/mol"
,3/2Pt + O2 = 1/2Pt3O4,0,-32,,4Cu + O2 = 2Cu2O,0,-80,,As +O2 = 1/2As2O4,0,-104,,4VO2 + O2 = 2V2O5,0,-75.5,,Te + O2 = TeO2,0,-77,,4Na + O2 = 2Na2O,0,-197,,4/3B +O2 = 2/3B2O3,0,-200.5
,,734,-0.001,,m,1357,-33,,M,585,-79,,M,943,-19.08690869086911,,m,723,-46,,m,371,-176,,M,723,-171.5
,,,,,M,1509,-28,,B,730,-77,,m,1609.9082934765765,-33.296738667011,,M,1006,-33,,b,1156,-122,,m,2313,-112
,,,,,,2500,-9.5,,b,886,-71,,,,,,b,1267,-2,,M,1193,-119,,,,
,,,,,,,,,,2500,-16,,,,,,,1700,-0.001,,B,1600,-62,,,,
,,,,,,,,,,,,,,,,,,,,,,2250,-0.001,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Tl,"T, K","DGo , Kcal/mol",,Mn,"T, K","DGo , Kcal/mol",,Sb,"T, K","DGo , Kcal/mol",,V,"T, K","DGo , Kcal/mol",,Pb,"T, K","DGo , Kcal/mol",,Hf,"T, K","DGo , Kcal/mol",,Si,"T, K","DGo , Kcal/mol"
,Tl2O + O2 = Tl2O3,0,-49.5,,4MnO + O2 = 2Mn2O3,0,-95.5,,4/3Sb +O2 = 2/3Sb2O3,0,-111,,2V2O3 + O2 = 4VO2,0,-83.40000000000009,,2Pb + O2 = 2PbO,0,-104,,Hf + O2 = HfO2,0,-265,,Si + O2 = SiO2,0,-216.5
,m,573,-13.31195840554593,,,1517,-19,,m,904,-74,,M,1609.9082934765765,-33.29673866701099,,m,762,-69,,m,2495,-152,,m,1685,-145.8
,,577,-13.5,,,,,,M,928,-73,,,,,,M,1159,-52,,M,3013,-115,,M,1696,-145.4
,b,773,-5.398305084745765,,,,,,B,1698,-45,,,,,,B,1745,-29,,,,,,,2500,-107.8
,M,990,6.570921985815602,,,,,,b,1908,-32,,,,,,b,2016,-35,,,,,,,,
,,1200,18.68644326241135,,,,,,,2380,-0.0001,,,,,,,2500,-24,,,,,,,,
,,1760,15,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Se,"T, K","DGo , Kcal/mol",,Ni,"T, K","DGo , Kcal/mol",,W,"T, K","DGo , Kcal/mol",,C,"T, K","DGo , Kcal/mol",,Ge,"T, K","DGo , Kcal/mol",,Yb,"T, K","DGo , Kcal/mol",,Sm,"T, K","DGo , Kcal/mol"
,Se + O2 = SeO2,0,-54,,2Ni + O2 = 2NiO,0,-114,,2/3W + O2 = 2/3WO3,0,-133,,C + O2 = CO2,0,-94.2,,Ge + O2 = GeO2,0,-129,,4/3Yb + O2 = 2/3Yb2O3,0,-288.1,,4/3Sm + O2 = 2/3Sm2O3,0,-288.7
,m,491,-33,,m,1725,-44.5,,M,1743,-67,,,3400,-95.9,,m,1210,-73,,m,1097,-239.3,,m,1345,-227.1
,M,603,-28,,M,2257,-24.5,,B,2100,-57,,,,,,M,1389,-64,,,,,,,,
,b,952,-27,,,2500,-15,,,2500,-52,,,,,,,2500,-19,,,,,,,,
,,2250,-0.001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Tl,"T, K","DGo , Kcal/mol",,Cd,"T, K","DGo , Kcal/mol",,P,"T, K","DGo , Kcal/mol",,Fe,"T, K","DGo , Kcal/mol",,Ge,"T, K","DGo , Kcal/mol",,Ho,"T, K","DGo , Kcal/mol",,Tm,"T, K","DGo , Kcal/mol"
,4Tl + O2 = 2Tl2O,0,-69,,2Cd + O2 = CdO,0,-124,,4/5P + O2 = 2/5P2O5,0,-142,,6FeO + O2 = 2Fe3O4,840,-99,,2Ge + O2 = 2GeO(g),0,-16,,4/3Ho + O2 = 2/3Ho2O3,0,-298.5,,4/3Tm + O2 = 2/3Tm2O3,0,-299.3
,M,573,-52,,m,594,-96,,M,631,-95,,m,1642,-51.16229961304589,,m,1210,-67.4,,m,1734,-220.8,,m,1873,-216.1
,m,577,-51,,b,1040,-74,,b,704,-93,,,,,,,2000,-85.3,,,,,,,,
,B,773,-43,,,1800,-0.001,,,2500,42,,,,,,,,,,,,,,,,
,b,1760,-30,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,-0.001,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,S,"T, K","DGo , Kcal/mol",,C,"T, K","DGo , Kcal/mol",,Cs,"T, K","DGo , Kcal/mol",,Fe,"T, K","DGo , Kcal/mol",,Sn,"T, K","DGo , Kcal/mol",,,,,,Al,"T, K","DGo , Kcal/mol"
,S + O2 = SO2,0,-86,,2CO + O2 = CO2,0,-135,,4Cs + O2 = 2Cs2O,0,-151.8,,2Fe + O2 = 2FeO,840,-99,,Sn + O2 = SnO2,0,-138.8,,,,,,4Al + O2 = 2Al2O(g),298,-102.39521261347348
,,3400,-28,,,3400,4.700000000000017,,m,302,-125,,M,1642,-75,,m,505,-114,,,,,,,933,-129.545016722408
,,,,,,,,,M,763,-84,,m,1809,-71.9,,B,2140,-31,,,,,,,2000,-155.08862876254182
,,,,,,,,,B,915,-73,,,2000,-67.9,,,,,,,,,,,,
,,,,,,,,,b,955,-72,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Bi,"T, K","DGo , Kcal/mol",,Nb,"T, K","DGo , Kcal/mol",,Ti,"T, K","DGo , Kcal/mol",,Fe,"T, K","DGo , Kcal/mol",,Rb,"T, K","DGo , Kcal/mol",,,,,,,,
,3/2Bi + O2 = 1/2Bi3O4,0,-103.6,,4NbO + O2 = 2Nb2O3,0,-159,,2Ti3O5 + O2 = 6TiO2,0,-168,,4Fe3O4 + O2 = 6Fe2O3,0,-100,,4Rb + O2 = 2Rb2O,0,-157.8,,,,,,,,
,,1400,-33.3,,M,1764,-85.61226330027051,,,1940,-90,,,1853,2.8999999999999773,,m,312,-138,,,,,,,,
,,,,,,,,,M,2033,-83.12296620775976,,,,,,M,910,-96,,,,,,,,
,,,,,,,,,m,2128,-76.09803921568619,,,,,,b,952,-95,,,,,,,,
,,,,,,,,,,2150,-75.4753320683111,,,,,,,,,,,,,,,,
,,,,,,,,,,2450,-66.98387096774195,,,,,,,,,,,,,,,,
,,,,,,,,,,2500,-64,,,,,,,,,,,,,,,,
9.0,Co,"T, K","DGo , Kcal/mol",,Ga,"T, K","DGo , Kcal/mol",,Ti,"T, K","DGo , Kcal/mol",,Fe,"T, K","DGo , Kcal/mol",,Eu,"T, K","DGo , Kcal/mol",,,,,,,,
,2Co + O2 = 2CoO,0,-114.2,,4/3Ga +O2 = 2/3Ga2O3,0,-172,,6Ti2O3 + O2 = 4Ti3O5,0,-192,,3/2Fe + O2 = 1/2Fe3O4,0,-130.4,,4EuO +O2 = 2Eu2O3,0,-199.5,,,,,,,,
,m,1768,-41.5,,m,303,-158,,,1940,-108,,,840,-99,,,1090,-136.1,,,,,,,,
,M,2078,-27,,M,2073,-64,,,2033,-100.17184873949577,,,,,,,,,,,,,,,,
,,2500,-12,,b,2676,-50,,M,2128,-92.17535014005603,,,,,,,,,,,,,,,,
,,,,,,,,,m,2150,-90.32352941176464,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Zn,"T, K","DGo , Kcal/mol",,Mn,"T, K","DGo , Kcal/mol",,Ti,"T, K","DGo , Kcal/mol",,H,"T, K","DGo , Kcal/mol",,Pr,"T, K","DGo , Kcal/mol",,,,,,,,
