Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      581690.9848  581690.2296       0.7552  2921.4
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      581690.2580  581690.2296       0.0284   109.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           1.1674       1.1467       0.0206    79.8
0.0010           1.1371       1.0763       0.0608   235.1
0.0020           1.1620       1.1468       0.0152    58.7
0.0030           1.1382       1.0785       0.0597   231.0
0.0040           1.1650       1.1430       0.0220    85.0
0.0050           1.1308       1.0780       0.0529   204.6
0.0060           1.1525       1.1241       0.0283   109.5
0.0070           1.1488       1.1126       0.0362   140.1
0.0080           1.1351       1.0897       0.0454   175.5
0.0090           1.1555       1.1277       0.0278   107.5
0.0100           1.1417       1.0873       0.0544   210.4
0.0110           1.1606       1.1439       0.0167    64.7
0.0120           1.1334       1.0714       0.0620   239.7
0.0130           1.1723       1.1544       0.0179    69.3
0.0140           1.1308       1.0709       0.0599   231.8
0.0150           1.1576       1.1373       0.0203    78.6
0.0160           1.1446       1.0974       0.0472   182.8
0.0170           1.1457       1.1109       0.0348   134.7
0.0180           1.1424       1.1048       0.0376   145.6
0.0190           1.1457       1.1014       0.0443   171.4
0.0200           1.1563       1.1341       0.0222    85.7
0.0210           1.1303       1.0718       0.0584   226.1
0.0220           1.1711       1.1526       0.0186    71.9
0.0230           1.1347       1.0727       0.0619   239.6
0.0240           1.1613       1.1454       0.0159    61.5
0.0250           1.1405       1.0840       0.0566   218.9
0.0260           1.1591       1.1335       0.0255    98.7
0.0270           1.1331       1.0850       0.0482   186.3
0.0280           1.1500       1.1167       0.0333   128.9
0.0290           1.1511       1.1201       0.0310   119.8
0.0300           1.1319       1.0815       0.0504   194.9
0.0310           1.1619       1.1381       0.0238    92.1
0.0320           1.1395       1.0813       0.0582   225.0
0.0330           1.1618       1.1463       0.0155    59.8
0.0340           1.1358       1.0742       0.0616   238.3
0.0350           1.1697       1.1503       0.0194    75.0
0.0360           1.1301       1.0732       0.0570   220.4
0.0370           1.1551       1.1312       0.0239    92.4
0.0380           1.1466       1.1048       0.0418   161.8
0.0390           1.1399       1.0998       0.0401   154.9
0.0400           1.1487       1.1162       0.0325   125.9
0.0410           1.1438       1.0941       0.0496   192.0
0.0420           1.1587       1.1397       0.0190    73.5
0.0430           1.1314       1.0705       0.0609   235.6
0.0440           1.1729       1.1553       0.0177    68.3
0.0450           1.1325       1.0708       0.0617   238.6
0.0460           1.1598       1.1422       0.0176    68.2
0.0470           1.1427       1.0903       0.0524   202.6
0.0480           1.1525       1.1226       0.0299   115.5
0.0490           1.1371       1.0940       0.0430   166.5
0.0500           1.1478       1.1091       0.0387   149.9
0.0510           1.1537       1.1274       0.0263   101.6
0.0520           1.1304       1.0755       0.0549   212.2
0.0530           1.1674       1.1466       0.0207    80.1
0.0540           1.1372       1.0764       0.0608   235.2
0.0550           1.1621       1.1469       0.0152    58.8
0.0560           1.1383       1.0784       0.0598   231.4
0.0570           1.1652       1.1432       0.0220    85.0
0.0580           1.1309       1.0779       0.0530   205.1
0.0590           1.1526       1.1243       0.0283   109.4
0.0600           1.1488       1.1125       0.0364   140.6
0.0610           1.1352       1.0898       0.0454   175.4
0.0620           1.1555       1.1276       0.0279   107.9
0.0630           1.1418       1.0874       0.0544   210.4
0.0640           1.1607       1.1439       0.0168    64.9
0.0650           1.1334       1.0714       0.0620   240.0
0.0660           1.1725       1.1546       0.0179    69.4
0.0670           1.1309       1.0708       0.0600   232.2
0.0680           1.1577       1.1374       0.0203    78.6
0.0690           1.1447       1.0973       0.0474   183.4
0.0700           1.1459       1.1111       0.0348   134.6
0.0710           1.1424       1.1046       0.0378   146.2
0.0720           1.1458       1.1015       0.0443   171.4
0.0730           1.1563       1.1341       0.0223    86.1
0.0740           1.1304       1.0719       0.0585   226.3
0.0750           1.1713       1.1526       0.0186    72.1
0.0760           1.1348       1.0728       0.0620   240.0
0.0770           1.1615       1.1456       0.0159    61.6
0.0780           1.1406       1.0839       0.0567   219.5
0.0790           1.1593       1.1338       0.0255    98.8
0.0800           1.1332       1.0849       0.0483   187.0
0.0810           1.1502       1.1169       0.0333   128.9
0.0820           1.1512       1.1201       0.0311   120.4
0.0830           1.1320       1.0816       0.0504   195.1
0.0840           1.1620       1.1381       0.0239    92.6
0.0850           1.1397       1.0814       0.0582   225.3
0.0860           1.1619       1.1464       0.0155    60.0
0.0870           1.1359       1.0741       0.0617   238.8
0.0880           1.1699       1.1505       0.0194    75.1
0.0890           1.1303       1.0731       0.0571   221.0
0.0900           1.1553       1.1314       0.0239    92.5
0.0910           1.1468       1.1048       0.0420   162.5
0.0920           1.1401       1.1000       0.0401   155.1
0.0930           1.1488       1.1161       0.0327   126.5
0.0940           1.1440       1.0943       0.0497   192.2
0.0950           1.1588       1.1397       0.0191    73.9
0.0960           1.1316       1.0705       0.0610   236.0
0.0970           1.1732       1.1554       0.0177    68.6
0.0980           1.1326       1.0708       0.0618   239.2
0.0990           1.1601       1.1424       0.0177    68.3
0.1000           1.1428       1.0903       0.0526   203.3
0.1010           1.1528       1.1229       0.0299   115.7
0.1020           1.1372       1.0939       0.0432   167.2
0.1030           1.1480       1.1093       0.0388   150.0
0.1040           1.1539       1.1275       0.0264   102.1
0.1050           1.1305       1.0756       0.0550   212.6
0.1060           1.1676       1.1467       0.0208    80.6
0.1070           1.1374       1.0765       0.0609   235.7
0.1080           1.1623       1.1471       0.0153    59.0
0.1090           1.1384       1.0784       0.0600   232.2
0.1100           1.1655       1.1434       0.0220    85.2
0.1110           1.1310       1.0778       0.0532   205.9
0.1120           1.1528       1.1245       0.0283   109.6
0.1130           1.1490       1.1125       0.0365   141.3
0.1140           1.1354       1.0900       0.0454   175.8
0.1150           1.1557       1.1276       0.0281   108.5
0.1160           1.1421       1.0875       0.0545   210.9
0.1170           1.1609       1.1440       0.0169    65.2
0.1180           1.1336       1.0714       0.0622   240.7
0.1190           1.1728       1.1548       0.0180    69.7
0.1200           1.1311       1.0708       0.0603   233.1
0.1210           1.1580       1.1377       0.0204    78.8
0.1220           1.1449       1.0973       0.0476   184.1
0.1230           1.1462       1.1113       0.0349   135.0
0.1240           1.1426       1.1046       0.0380   146.9
0.1250           1.1461       1.1017       0.0444   171.8
0.1260           1.1566       1.1342       0.0224    86.6
0.1270           1.1306       1.0719       0.0587   227.0
0.1280           1.1716       1.1528       0.0188    72.6
0.1290           1.1351       1.0728       0.0623   240.8
0.1300           1.1618       1.1458       0.0160    61.9
0.1310           1.1409       1.0839       0.0570   220.4
0.1320           1.1597       1.1340       0.0256    99.1
0.1330           1.1334       1.0848       0.0486   187.8
0.1340           1.1505       1.1171       0.0334   129.3
0.1350           1.1515       1.1202       0.0313   121.0
0.1360           1.1323       1.0817       0.0506   195.7
0.1370           1.1623       1.1382       0.0241    93.1
0.1380           1.1400       1.0815       0.0585   226.1
0.1390           1.1623       1.1466       0.0156    60.4
0.1400           1.1361       1.0741       0.0620   239.8
0.1410           1.1703       1.1508       0.0195    75.5
0.1420           1.1305       1.0731       0.0574   222.0
0.1430           1.1556       1.1316       0.0240    92.9
0.1440           1.1471       1.1049       0.0422   163.2
0.1450           1.1404       1.1001       0.0402   155.7
0.1460           1.1491       1.1162       0.0329   127.2
0.1470           1.1443       1.0944       0.0499   192.9
0.1480           1.1592       1.1400       0.0192    74.3
0.1490           1.1318       1.0705       0.0613   237.0
0.1500           1.1736       1.1557       0.0179    69.1
0.1510           1.1329       1.0708       0.0621   240.3
0.1520           1.1604       1.1427       0.0178    68.7
0.1530           1.1431       1.0903       0.0528   204.3
0.1540           1.1531       1.1231       0.0301   116.3
0.1550           1.1374       1.0940       0.0434   168.0
0.1560           1.1484       1.1094       0.0390   150.7
0.1570           1.1542       1.1277       0.0265   102.7
0.1580           1.1308       1.0756       0.0552   213.6
0.1590           1.1680       1.1470       0.0210    81.1
0.1600           1.1377       1.0765       0.0612   236.8
0.1610           1.1627       1.1474       0.0154    59.4
0.1620           1.1388       1.0785       0.0603   233.3
0.1630           1.1659       1.1437       0.0222    85.8
0.1640           1.1313       1.0778       0.0535   206.9
0.1650           1.1532       1.1247       0.0285   110.2
0.1660           1.1494       1.1127       0.0367   142.0
0.1670           1.1357       1.0900       0.0457   176.8
0.1680           1.1560       1.1278       0.0282   109.2
0.1690           1.1424       1.0876       0.0548   211.9
0.1700           1.1613       1.1443       0.0170    65.7
0.1710           1.1340       1.0714       0.0625   241.9
0.1720           1.1733       1.1551       0.0182    70.3
0.1730           1.1314       1.0708       0.0606   234.2
0.1740           1.1584       1.1379       0.0205    79.4
0.1750           1.1453       1.0975       0.0478   185.0
0.1760           1.1466       1.1114       0.0351   135.9
0.1770           1.1430       1.1048       0.0382   147.7
0.1780           1.1465       1.1018       0.0447   172.8
0.1790           1.1570       1.1345       0.0225    87.1
0.1800           1.1309       1.0719       0.0590   228.2
0.1810           1.1721       1.1532       0.0189    73.1
0.1820           1.1354       1.0728       0.0626   242.1
0.1830           1.1623       1.1461       0.0161    62.5
0.1840           1.1413       1.0840       0.0573   221.5
0.1850           1.1601       1.1342       0.0258   100.0
0.1860           1.1337       1.0849       0.0488   188.8
0.1870           1.1509       1.1172       0.0337   130.2
0.1880           1.1519       1.1205       0.0314   121.6
0.1890           1.1326       1.0817       0.0509   197.0
0.1900           1.1628       1.1386       0.0242    93.7
0.1910           1.1404       1.0815       0.0588   227.5
0.1920           1.1628       1.1470       0.0157    60.9
0.1930           1.1365       1.0742       0.0623   241.1
0.1940           1.1708       1.1511       0.0197    76.3
0.1950           1.1308       1.0731       0.0577   223.2
0.1960           1.1561       1.1319       0.0242    93.7
0.1970           1.1475       1.1051       0.0424   164.0
0.1980           1.1407       1.1001       0.0406   156.9
0.1990           1.1496       1.1165       0.0331   127.9
0.2000           1.1447       1.0945       0.0502   194.3
0.2010           1.1597       1.1404       0.0193    74.8
0.2020           1.1322       1.0705       0.0617   238.5
0.2030           1.1742       1.1561       0.0180    69.7
0.2040           1.1333       1.0708       0.0625   241.7
0.2050           1.1609       1.1430       0.0179    69.4
0.2060           1.1436       1.0905       0.0531   205.3
0.2070           1.1535       1.1231       0.0304   117.4
0.2080           1.1379       1.0942       0.0437   168.9
0.2090           1.1488       1.1095       0.0393   152.0
0.2100           1.1547       1.1281       0.0267   103.2
0.2110           1.1312       1.0755       0.0556   215.3
0.2120           1.1686       1.1475       0.0211    81.7
0.2130           1.1381       1.0765       0.0616   238.5
0.2140           1.1633       1.1478       0.0155    60.1
0.2150           1.1393       1.0786       0.0607   234.6
0.2160           1.1664       1.1439       0.0224    86.8
0.2170           1.1317       1.0779       0.0538   208.0
0.2180           1.1537       1.1249       0.0288   111.4
0.2190           1.1499       1.1130       0.0369   142.6
0.2200           1.1360       1.0899       0.0461   178.4
0.2210           1.1567       1.1283       0.0284   109.8
0.2220           1.1429       1.0876       0.0552   213.7
0.2230           1.1619       1.1448       0.0171    66.2
