Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -4701.708    -4777.051       75.344  1005.0
0.0005        -4701.707    -4776.895       75.187  1002.9
0.0010        -4701.705    -4776.433       74.728   996.8
0.0015        -4701.705    -4775.678       73.973   986.7
0.0020        -4701.702    -4774.638       72.936   972.9
0.0025        -4701.702    -4773.335       71.633   955.5
0.0030        -4701.700    -4771.787       70.087   934.9
0.0035        -4701.698    -4770.020       68.322   911.3
0.0040        -4701.695    -4768.064       66.369   885.3
0.0045        -4701.692    -4765.950       64.258   857.1
0.0050        -4701.688    -4763.712       62.024   827.3
0.0055        -4701.684    -4761.386       59.703   796.3
0.0060        -4701.680    -4759.010       57.329   764.7
0.0065        -4701.676    -4756.616       54.940   732.8
0.0070        -4701.670    -4754.241       52.570   701.2
0.0075        -4701.665    -4751.918       50.253   670.3
0.0080        -4701.659    -4749.678       48.019   640.5
0.0085        -4701.652    -4747.549       45.897   612.2
0.0090        -4701.645    -4745.555       43.909   585.7
0.0095        -4701.637    -4743.713       42.077   561.2
0.0100        -4701.628    -4742.041       40.413   539.0
0.0105        -4701.620    -4740.548       38.928   519.2
0.0110        -4701.611    -4739.237       37.626   501.9
0.0115        -4701.602    -4738.107       36.505   486.9
0.0120        -4701.592    -4737.153       35.561   474.3
0.0125        -4701.581    -4736.363       34.782   463.9
0.0130        -4701.571    -4735.726       34.155   455.6
0.0135        -4701.558    -4735.222       33.664   449.0
0.0140        -4701.546    -4734.835       33.289   444.0
0.0145        -4701.533    -4734.545       33.011   440.3
0.0150        -4701.520    -4734.332       32.812   437.7
0.0155        -4701.506    -4734.180       32.674   435.8
0.0160        -4701.490    -4734.070       32.579   434.6
0.0165        -4701.474    -4733.989       32.515   433.7
0.0170        -4701.456    -4733.924       32.468   433.1
0.0175        -4701.438    -4733.868       32.429   432.6
0.0180        -4701.418    -4733.812       32.394   432.1
0.0185        -4701.398    -4733.754       32.356   431.6
0.0190        -4701.375    -4733.690       32.315   431.0
0.0195        -4701.353    -4733.625       32.272   430.5
0.0200        -4701.330    -4733.557       32.227   429.9
0.0205        -4701.305    -4733.490       32.185   429.3
0.0210        -4701.279    -4733.429       32.151   428.8
0.0215        -4701.253    -4733.380       32.127   428.5
0.0220        -4701.228    -4733.347       32.119   428.4
0.0225        -4701.200    -4733.332       32.132   428.6
0.0230        -4701.171    -4733.338       32.167   429.1
0.0235        -4701.141    -4733.370       32.229   429.9
0.0240        -4701.111    -4733.429       32.317   431.1
0.0245        -4701.080    -4733.514       32.434   432.6
0.0250        -4701.048    -4733.626       32.578   434.5
0.0255        -4701.015    -4733.762       32.747   436.8
0.0260        -4700.981    -4733.921       32.940   439.4
0.0265        -4700.947    -4734.099       33.152   442.2
0.0270        -4700.910    -4734.291       33.381   445.2
0.0275        -4700.873    -4734.493       33.620   448.4
0.0280        -4700.835    -4734.701       33.866   451.7
0.0285        -4700.797    -4734.909       34.113   455.0
0.0290        -4700.757    -4735.113       34.356   458.3
0.0295        -4700.717    -4735.307       34.589   461.4
0.0300        -4700.676    -4735.485       34.809   464.3
0.0305        -4700.633    -4735.644       35.010   467.0
0.0310        -4700.591    -4735.780       35.190   469.4
0.0315        -4700.548    -4735.892       35.344   471.4
0.0320        -4700.504    -4735.975       35.471   473.1
0.0325        -4700.460    -4736.031       35.571   474.5
0.0330        -4700.415    -4736.057       35.642   475.4
0.0335        -4700.370    -4736.057       35.687   476.0
0.0340        -4700.324    -4736.032       35.708   476.3
