Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -4701.708    -4777.051       75.344  1005.0
0.0500        -4698.869    -4735.149       36.280   483.9
0.1000        -4694.208    -4736.120       41.912   559.0
0.1500        -4687.987    -4730.595       42.608   568.3
0.2000        -4681.101    -4729.296       48.195   642.8
0.2500        -4673.534    -4727.576       54.042   720.8
0.3000        -4665.535    -4722.118       56.583   754.7
0.3500        -4657.275    -4717.997       60.722   809.9
0.4000        -4648.933    -4713.510       64.577   861.4
0.4500        -4640.938    -4710.104       69.166   922.6
0.5000        -4633.542    -4706.269       72.727   970.1
0.5500        -4626.839    -4701.381       74.541   994.3
0.6000        -4621.181    -4696.137       74.955   999.8
0.6500        -4616.450    -4691.451       75.001  1000.4
0.7000        -4613.109    -4693.937       80.829  1078.1
0.7500        -4612.403    -4689.651       77.248  1030.4
0.8000        -4614.270    -4693.367       79.097  1055.0
0.8500        -4618.290    -4691.636       73.346   978.3
0.9000        -4622.343    -4698.541       76.198  1016.4
0.9500        -4626.005    -4698.870       72.865   971.9
1.0000        -4628.542    -4700.093       71.550   954.4
1.0500        -4629.236    -4702.409       73.174   976.0
1.1000        -4628.791    -4699.171       70.379   938.8
1.1500        -4626.820    -4699.045       72.225   963.4
1.2000        -4623.758    -4696.276       72.517   967.3
1.2500        -4620.731    -4695.578       74.848   998.4
1.3000        -4618.576    -4694.938       76.362  1018.6
1.3500        -4617.156    -4694.450       77.294  1031.0
1.4000        -4617.000    -4692.576       75.576  1008.1
1.4500        -4617.926    -4693.391       75.465  1006.6
1.5000        -4619.134    -4697.125       77.991  1040.3
1.5500        -4620.471    -4696.540       76.069  1014.6
1.6000        -4622.306    -4695.071       72.765   970.6
1.6500        -4623.594    -4695.012       71.418   952.6
1.7000        -4624.008    -4697.308       73.300   977.7
1.7500        -4624.158    -4696.179       72.021   960.7
1.8000        -4623.543    -4697.678       74.135   988.9
1.8500        -4622.112    -4699.830       77.718  1036.6
1.9000        -4620.934    -4695.961       75.026  1000.7
1.9500        -4619.835    -4694.475       74.640   995.6
2.0000        -4619.076    -4695.246       76.170  1016.0
2.0500        -4618.310    -4692.203       73.892   985.6
2.1000        -4618.112    -4695.281       77.169  1029.3
2.1500        -4618.830    -4692.736       73.907   985.8
2.2000        -4619.922    -4693.015       73.093   975.0
2.2500        -4621.330    -4696.441       75.111  1001.9
2.3000        -4622.526    -4699.187       76.661  1022.5
2.3500        -4623.157    -4694.872       71.715   956.6
2.4000        -4623.388    -4696.529       73.141   975.6
2.4500        -4623.006    -4695.448       72.442   966.3
2.5000        -4621.767    -4697.379       75.612  1008.6
2.5500        -4620.713    -4696.365       75.652  1009.1
2.6000        -4619.433    -4694.140       74.707   996.5
2.6500        -4618.213    -4692.889       74.677   996.1
2.7000        -4617.260    -4693.444       76.184  1016.2
2.7500        -4617.343    -4692.304       74.960   999.9
2.8000        -4618.515    -4692.550       74.035   987.5
2.8500        -4620.542    -4697.008       76.466  1019.9
2.9000        -4623.548    -4692.663       69.115   921.9
2.9500        -4624.999    -4697.392       72.394   965.6
3.0000        -4625.148    -4696.706       71.558   954.5
3.0500        -4623.788    -4695.555       71.767   957.3
3.1000        -4619.938    -4695.019       75.081  1001.5
3.1500        -4617.009    -4696.593       79.584  1061.5
3.2000        -4616.334    -4690.165       73.831   984.8
3.2500        -4616.288    -4694.864       78.576  1048.1
3.3000        -4617.381    -4694.064       76.683  1022.8
3.3500        -4618.854    -4692.497       73.643   982.3
3.4000        -4620.395    -4692.845       72.449   966.4
3.4500        -4621.694    -4692.342       70.648   942.3
3.5000        -4622.115    -4697.600       75.485  1006.9
3.5500        -4621.676    -4694.141       72.465   966.6
3.6000        -4619.094    -4694.069       74.975  1000.1
3.6500        -4615.174    -4692.805       77.631  1035.5
3.7000        -4613.090    -4692.203       79.112  1055.2
3.7500        -4613.117    -4689.880       76.763  1023.9
3.8000        -4613.902    -4687.840       73.937   986.2
3.8500        -4615.755    -4690.550       74.795   997.7
3.9000        -4618.065    -4693.980       75.915  1012.6
3.9500        -4620.006    -4695.903       75.896  1012.3
4.0000        -4621.386    -4694.104       72.718   970.0
4.0500        -4621.609    -4694.094       72.485   966.8
4.1000        -4620.832    -4695.441       74.609   995.2
4.1500        -4619.816    -4692.200       72.385   965.5
4.2000        -4618.846    -4690.331       71.485   953.5
4.2500        -4617.754    -4690.221       72.467   966.6
4.3000        -4616.495    -4692.421       75.926  1012.7
4.3500        -4616.070    -4691.430       75.360  1005.2
4.4000        -4616.537    -4690.880       74.343   991.6
4.4500        -4617.286    -4693.958       76.673  1022.7
4.5000        -4619.611    -4696.516       76.905  1025.8
4.5500        -4623.348    -4695.631       72.283   964.2
4.6000        -4625.102    -4692.426       67.323   898.0
4.6500        -4624.537    -4693.967       69.430   926.1
4.7000        -4622.209    -4696.312       74.102   988.4
4.7500        -4619.500    -4695.347       75.847  1011.7
4.8000        -4617.808    -4691.498       73.690   982.9
4.8500        -4616.887    -4689.981       73.093   975.0
4.9000        -4616.516    -4693.529       77.013  1027.2
4.9500        -4616.661    -4696.501       79.840  1064.9
5.0000        -4617.465    -4692.724       75.259  1003.8
5.0500        -4618.582    -4691.227       72.645   969.0
5.1000        -4620.426    -4692.943       72.517   967.3
5.1500        -4623.365    -4696.667       73.302   977.7
5.2000        -4625.591    -4698.997       73.406   979.1
5.2500        -4625.750    -4697.914       72.164   962.6
5.3000        -4623.718    -4696.213       72.495   967.0
5.3500        -4620.234    -4692.567       72.333   964.8
5.4000        -4617.879    -4693.984       76.106  1015.1
5.4500        -4616.860    -4691.816       74.956   999.8
5.5000        -4616.267    -4690.677       74.410   992.5
5.5500        -4615.290    -4691.898       76.608  1021.8
5.6000        -4614.661    -4690.792       76.131  1015.5
5.6500        -4614.140    -4689.820       75.680  1009.5
5.7000        -4613.876    -4690.534       76.658  1022.5
5.7500        -4613.832    -4691.530       77.698  1036.4
5.8000        -4614.428    -4688.257       73.830   984.8
5.8500        -4616.668    -4692.278       75.610  1008.5
5.9000        -4619.633    -4695.508       75.875  1012.1
5.9500        -4621.358    -4692.277       70.918   945.9
6.0000        -4620.837    -4695.105       74.267   990.6
6.0500        -4619.482    -4691.365       71.883   958.8
6.1000        -4616.757    -4691.394       74.637   995.5
6.1500        -4614.242    -4691.988       77.746  1037.0
6.2000        -4613.518    -4687.611       74.093   988.3
6.2500        -4613.307    -4692.878       79.571  1061.4
6.3000        -4613.867    -4688.364       74.497   993.7
6.3500        -4614.344    -4688.984       74.640   995.6
6.4000        -4614.996    -4689.609       74.613   995.2
6.4500        -4616.007    -4692.837       76.830  1024.8
6.5000        -4618.544    -4690.328       71.784   957.5
6.5500        -4621.834    -4692.938       71.103   948.4
6.6000        -4623.924    -4695.491       71.567   954.6
6.6500        -4624.266    -4696.089       71.823   958.0
6.7000        -4623.109    -4693.122       70.013   933.9
6.7500        -4619.948    -4691.753       71.806   957.8
6.8000        -4616.301    -4692.120       75.819  1011.3
6.8500        -4615.145    -4688.179       73.034   974.2
6.9000        -4614.849    -4686.467       71.618   955.3
6.9500        -4614.570    -4694.480       79.910  1065.9
7.0000        -4615.179    -4691.313       76.135  1015.5
7.0500        -4616.118    -4692.351       76.232  1016.8
7.1000        -4616.996    -4689.663       72.668   969.3
7.1500        -4617.244    -4692.074       74.830   998.1
7.2000        -4617.533    -4693.035       75.502  1007.1
7.2500        -4617.794    -4692.455       74.661   995.9
7.3000        -4617.888    -4688.238       70.350   938.4
7.3500        -4616.826    -4693.124       76.298  1017.7
7.4000        -4615.334    -4689.519       74.185   989.5
7.4500        -4613.025    -4689.268       76.244  1017.0
7.5000        -4611.596    -4686.712       75.116  1001.9
7.5500        -4611.199    -4688.418       77.219  1030.0
7.6000        -4612.095    -4689.623       77.528  1034.1
7.6500        -4614.875    -4692.955       78.080  1041.5
7.7000        -4618.683    -4694.243       75.560  1007.9
7.7500        -4620.203    -4693.262       73.058   974.5
7.8000        -4620.132    -4692.427       72.295   964.3
7.8500        -4618.981    -4691.315       72.333   964.8
7.9000        -4617.178    -4693.282       76.104  1015.1
7.9500        -4615.462    -4689.932       74.471   993.3
8.0000        -4614.510    -4691.243       76.733  1023.5
8.0500        -4614.293    -4686.605       72.312   964.5
8.1000        -4614.170    -4688.944       74.774   997.4
8.1500        -4614.427    -4689.470       75.044  1001.0
8.2000        -4614.894    -4690.437       75.542  1007.6
8.2500        -4615.564    -4692.371       76.807  1024.5
8.3000        -4616.217    -4690.738       74.521   994.0
8.3500        -4616.625    -4691.020       74.395   992.3
8.4000        -4616.642    -4693.442       76.800  1024.4
8.4500        -4616.761    -4692.215       75.454  1006.4
8.5000        -4617.327    -4691.322       73.995   987.0
8.5500        -4617.608    -4689.483       71.874   958.7
8.6000        -4617.606    -4692.033       74.426   992.7
8.6500        -4617.710    -4692.110       74.400   992.4
8.7000        -4617.662    -4693.604       75.942  1013.0
8.7500        -4617.247    -4690.833       73.586   981.5
8.8000        -4616.436    -4693.134       76.698  1023.0
8.8500        -4616.201    -4693.581       77.380  1032.1
8.9000        -4616.425    -4690.228       73.802   984.4
8.9500        -4616.570    -4693.473       76.902  1025.8
9.0000        -4616.596    -4691.793       75.197  1003.0
9.0500        -4616.226    -4692.166       75.940  1012.9
9.1000        -4615.708    -4692.846       77.138  1028.9
9.1500        -4615.321    -4689.538       74.217   989.9
9.2000        -4615.053    -4691.327       76.274  1017.4
9.2500        -4615.610    -4691.034       75.424  1006.0
9.3000        -4616.818    -4689.411       72.594   968.3
9.3500        -4618.589    -4692.462       73.874   985.4
9.4000        -4620.295    -4696.104       75.809  1011.2
9.4500        -4621.424    -4696.347       74.923   999.4
9.5000        -4621.988    -4695.933       73.944   986.3
9.5500        -4621.149    -4692.904       71.755   957.1
9.6000        -4617.972    -4691.287       73.315   977.9
9.6500        -4614.690    -4691.200       76.511  1020.5
9.7000        -4613.016    -4693.802       80.786  1077.6
9.7500        -4613.075    -4687.271       74.196   989.7
9.8000        -4613.691    -4689.902       76.211  1016.5
9.8500        -4614.723    -4689.032       74.308   991.2
9.9000        -4616.969    -4691.737       74.768   997.3
9.9500        -4620.162    -4694.296       74.134   988.8
10.0000       -4622.481    -4696.473       73.992   986.9
10.0500       -4622.833    -4694.988       72.155   962.4
10.1000       -4622.224    -4693.676       71.453   953.1
10.1500       -4621.228    -4695.208       73.980   986.8
10.2000       -4619.630    -4695.028       75.398  1005.7
10.2500       -4617.933    -4691.185       73.252   977.1
10.3000       -4616.236    -4689.004       72.767   970.6
10.3500       -4614.788    -4691.589       76.802  1024.4
10.4000       -4614.317    -4690.071       75.754  1010.4
10.4500       -4614.070    -4691.811       77.741  1036.9
10.5000       -4615.427    -4688.356       72.929   972.8
10.5500       -4618.274    -4692.276       74.002   987.1
