Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -4465.980    -4603.007      137.027  1963.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -4465.980    -4603.007      137.027  1963.1
0.0500        -4464.379    -4606.253      141.874  2032.6
0.1000        -4461.320    -4600.710      139.390  1997.0
0.1500        -4457.276    -4600.934      143.658  2058.1
0.2000        -4452.585    -4588.605      136.020  1948.7
0.2500        -4447.056    -4587.756      140.701  2015.8
0.3000        -4441.459    -4588.425      146.966  2105.5
0.3500        -4440.726    -4587.960      147.234  2109.4
0.4000        -4446.840    -4591.350      144.510  2070.3
0.4500        -4457.224    -4600.626      143.402  2054.5
0.5000        -4461.339    -4595.734      134.396  1925.4
0.5500        -4463.041    -4605.554      142.512  2041.7
0.6000        -4463.604    -4598.673      135.069  1935.1
0.6500        -4463.394    -4600.046      136.652  1957.7
0.7000        -4462.203    -4605.111      142.909  2047.4
0.7500        -4460.373    -4607.998      147.625  2115.0
0.8000        -4459.615    -4599.027      139.412  1997.3
0.8500        -4458.821    -4597.352      138.532  1984.7
0.9000        -4457.344    -4602.360      145.016  2077.6
0.9500        -4457.618    -4605.208      147.590  2114.5
1.0000        -4461.448    -4597.907      136.459  1955.0
1.0500        -4466.145    -4601.848      135.703  1944.2
1.1000        -4469.826    -4608.324      138.498  1984.2
1.1500        -4470.918    -4606.736      135.818  1945.8
1.2000        -4468.992    -4606.330      137.338  1967.6
1.2500        -4464.519    -4606.607      142.088  2035.6
1.3000        -4457.689    -4598.283      140.595  2014.2
1.3500        -4452.463    -4598.659      146.196  2094.5
1.4000        -4452.109    -4594.070      141.961  2033.8
1.4500        -4453.554    -4594.786      141.232  2023.4
1.5000        -4455.999    -4601.398      145.399  2083.1
1.5500        -4459.286    -4601.032      141.747  2030.7
1.6000        -4462.778    -4606.487      143.709  2058.9
1.6500        -4465.139    -4604.571      139.432  1997.6
1.7000        -4465.833    -4602.722      136.889  1961.1
1.7500        -4465.531    -4604.207      138.676  1986.8
1.8000        -4464.718    -4605.811      141.093  2021.4
1.8500        -4464.124    -4605.752      141.628  2029.0
1.9000        -4463.609    -4601.701      138.092  1978.4
1.9500        -4462.335    -4600.062      137.727  1973.2
2.0000        -4460.914    -4601.779      140.865  2018.1
2.0500        -4459.198    -4601.834      142.636  2043.5
2.1000        -4456.381    -4601.929      145.549  2085.2
2.1500        -4454.767    -4598.292      143.525  2056.2
2.2000        -4455.284    -4596.130      140.846  2017.8
2.2500        -4457.629    -4598.883      141.254  2023.7
2.3000        -4460.689    -4598.958      138.268  1980.9
2.3500        -4463.719    -4606.767      143.048  2049.4
2.4000        -4468.318    -4609.431      141.113  2021.7
2.4500        -4472.667    -4608.834      136.167  1950.8
2.5000        -4474.210    -4608.392      134.182  1922.4
2.5500        -4473.224    -4602.772      129.548  1856.0
2.6000        -4465.844    -4612.814      146.970  2105.6
2.6500        -4458.574    -4600.018      141.444  2026.4
2.7000        -4456.742    -4598.834      142.092  2035.7
2.7500        -4457.040    -4599.423      142.383  2039.9
2.8000        -4459.674    -4598.498      138.824  1988.9
2.8500        -4463.139    -4607.060      143.920  2061.9
2.9000        -4467.735    -4602.468      134.733  1930.3
2.9500        -4471.218    -4605.124      133.906  1918.4
3.0000        -4471.676    -4606.146      134.470  1926.5
3.0500        -4469.661    -4605.692      136.030  1948.8
3.1000        -4467.258    -4600.263      133.005  1905.5
3.1500        -4464.382    -4600.824      136.443  1954.8
3.2000        -4462.416    -4601.693      139.277  1995.4
