Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -4465.980    -4603.007      137.027  1963.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -4465.980    -4603.007      137.027  1963.1
0.0005        -4465.978    -4602.696      136.717  1958.7
0.0010        -4465.978    -4602.375      136.397  1954.1
0.0015        -4465.978    -4602.047      136.069  1949.4
0.0020        -4465.978    -4601.718      135.739  1944.7
0.0025        -4465.977    -4601.391      135.414  1940.0
0.0030        -4465.977    -4601.078      135.100  1935.5
0.0035        -4465.974    -4600.780      134.806  1931.3
0.0040        -4465.974    -4600.510      134.537  1927.5
0.0045        -4465.972    -4600.270      134.298  1924.0
0.0050        -4465.970    -4600.059      134.089  1921.0
0.0055        -4465.970    -4599.879      133.909  1918.5
0.0060        -4465.968    -4599.722      133.754  1916.2
0.0065        -4465.968    -4599.583      133.614  1914.2
0.0070        -4465.966    -4599.449      133.483  1912.4
0.0075        -4465.963    -4599.315      133.352  1910.5
0.0080        -4465.960    -4599.175      133.214  1908.5
0.0085        -4465.956    -4599.024      133.068  1906.4
0.0090        -4465.952    -4598.867      132.915  1904.2
0.0095        -4465.947    -4598.707      132.760  1902.0
0.0100        -4465.942    -4598.556      132.615  1899.9
0.0105        -4465.935    -4598.425      132.489  1898.1
0.0110        -4465.930    -4598.328      132.398  1896.8
0.0115        -4465.925    -4598.277      132.352  1896.2
0.0120        -4465.919    -4598.278      132.359  1896.2
0.0125        -4465.913    -4598.333      132.420  1897.1
0.0130        -4465.907    -4598.439      132.531  1898.7
0.0135        -4465.901    -4598.583      132.682  1900.9
0.0140        -4465.894    -4598.750      132.856  1903.4
0.0145        -4465.888    -4598.922      133.034  1905.9
0.0150        -4465.881    -4599.078      133.196  1908.2
0.0155        -4465.875    -4599.200      133.325  1910.1
0.0160        -4465.866    -4599.270      133.404  1911.2
0.0165        -4465.856    -4599.282      133.426  1911.5
0.0170        -4465.847    -4599.232      133.385  1911.0
0.0175        -4465.835    -4599.120      133.285  1909.5
0.0180        -4465.824    -4598.957      133.133  1907.3
0.0185        -4465.813    -4598.751      132.938  1904.5
0.0190        -4465.801    -4598.515      132.715  1901.3
0.0195        -4465.789    -4598.266      132.477  1897.9
0.0200        -4465.778    -4598.016      132.238  1894.5
0.0205        -4465.765    -4597.776      132.010  1891.3
0.0210        -4465.753    -4597.554      131.801  1888.3
0.0215        -4465.740    -4597.356      131.616  1885.6
0.0220        -4465.730    -4597.187      131.458  1883.3
0.0225        -4465.717    -4597.042      131.325  1881.4
0.0230        -4465.703    -4596.919      131.216  1879.9
0.0235        -4465.690    -4596.816      131.126  1878.6
0.0240        -4465.677    -4596.728      131.051  1877.5
0.0245        -4465.662    -4596.651      130.988  1876.6
0.0250        -4465.646    -4596.581      130.935  1875.8
0.0255        -4465.630    -4596.519      130.889  1875.2
0.0260        -4465.614    -4596.468      130.853  1874.7
0.0265        -4465.597    -4596.426      130.829  1874.3
0.0270        -4465.580    -4596.399      130.818  1874.2
0.0275        -4465.564    -4596.390      130.826  1874.3
0.0280        -4465.544    -4596.400      130.855  1874.7
0.0285        -4465.526    -4596.435      130.910  1875.5
0.0290        -4465.507    -4596.498      130.990  1876.6
0.0295        -4465.488    -4596.586      131.098  1878.2
0.0300        -4465.467    -4596.697      131.229  1880.1
0.0305        -4465.447    -4596.828      131.381  1882.2
0.0310        -4465.428    -4596.973      131.545  1884.6
0.0315        -4465.408    -4597.120      131.712  1887.0
0.0320        -4465.386    -4597.259      131.874  1889.3
