Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -261.6217    -270.3977       8.7759  1060.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -261.6217    -270.3977       8.7759  1060.8
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -259.8814    -270.3977      10.5163  1271.2
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -259.8814    -270.3977      10.5163  1271.2
0.0010        -259.8817    -270.3478      10.4661  1265.1
0.0020        -259.8825    -270.1981      10.3155  1246.9
0.0030        -259.8837    -269.9493      10.0656  1216.7
0.0040        -259.8847    -269.6037       9.7190  1174.8
0.0050        -259.8854    -269.1658       9.2804  1121.8
0.0060        -259.8852    -268.6427       8.7575  1058.6
0.0070        -259.8840    -268.0457       8.1618   986.6
0.0080        -259.8813    -267.3910       7.5097   907.8
0.0090        -259.8769    -266.7006       6.8237   824.9
0.0100        -259.8708    -266.0025       6.1316   741.2
0.0100        -259.8708    -266.0025       6.1316   741.2
0.0110        -259.8634    -265.3283       5.4649   660.6
0.0120        -259.8549    -264.7101       4.8551   586.9
0.0130        -259.8460    -264.1748       4.3288   523.3
0.0140        -259.8368    -263.7402       3.9034   471.8
0.0150        -259.8270    -263.4123       3.5853   433.4
0.0160        -259.8165    -263.1868       3.3702   407.4
0.0170        -259.8049    -263.0519       3.2470   392.5
0.0180        -259.7919    -262.9922       3.2003   386.9
0.0190        -259.7770    -262.9912       3.2142   388.5
0.0200        -259.7600    -263.0337       3.2736   395.7
0.0200        -259.7600    -263.0337       3.2736   395.7
0.0210        -259.7407    -263.1058       3.3651   406.8
0.0220        -259.7188    -263.1959       3.4771   420.3
0.0230        -259.6942    -263.2945       3.6003   435.2
0.0240        -259.6667    -263.3937       3.7270   450.5
0.0250        -259.6365    -263.4877       3.8512   465.5
0.0260        -259.6036    -263.5722       3.9686   479.7
0.0270        -259.5681    -263.6441       4.0761   492.7
0.0280        -259.5302    -263.7016       4.1714   504.2
0.0290        -259.4902    -263.7436       4.2534   514.2
0.0300        -259.4484    -263.7699       4.3215   522.4
0.0300        -259.4484    -263.7699       4.3215   522.4
0.0310        -259.4051    -263.7808       4.3757   528.9
0.0320        -259.3608    -263.7773       4.4165   533.9
0.0330        -259.3157    -263.7606       4.4449   537.3
0.0340        -259.2702    -263.7326       4.4624   539.4
0.0350        -259.2247    -263.6955       4.4709   540.4
0.0360        -259.1793    -263.6520       4.4726   540.7
0.0370        -259.1345    -263.6049       4.4704   540.4
0.0380        -259.0903    -263.5577       4.4673   540.0
0.0390        -259.0469    -263.5137       4.4668   539.9
0.0400        -259.0044    -263.4767       4.4723   540.6
0.0400        -259.0044    -263.4767       4.4723   540.6
0.0410        -258.9627    -263.4503       4.4876   542.5
0.0420        -258.9219    -263.4386       4.5168   546.0
0.0430        -258.8817    -263.4456       4.5639   551.7
0.0440        -258.8422    -263.4751       4.6329   560.0
0.0450        -258.8031    -263.5305       4.7274   571.5
0.0460        -258.7642    -263.6139       4.8497   586.2
0.0470        -258.7254    -263.7252       4.9998   604.4
0.0480        -258.6866    -263.8617       5.1751   625.6
0.0490        -258.6474    -264.0173       5.3699   649.1
0.0500        -258.6078    -264.1836       5.5758   674.0
0.0500        -258.6078    -264.1836       5.5758   674.0
0.0510        -258.5675    -264.3507       5.7832   699.1
0.0520        -258.5265    -264.5090       5.9825   723.2
0.0530        -258.4848    -264.6505       6.1657   745.3
0.0540        -258.4424    -264.7703       6.3279   764.9
0.0550        -258.3996    -264.8665       6.4670   781.7
0.0560        -258.3563    -264.9402       6.5839   795.9
0.0570        -258.3128    -264.9945       6.6817   807.7
0.0580        -258.2692    -265.0340       6.7648   817.7
0.0590        -258.2254    -265.0633       6.8379   826.6
0.0600        -258.1816    -265.0868       6.9052   834.7
0.0600        -258.1816    -265.0868       6.9052   834.7
