Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -250.2943    -261.2747      10.9804  1327.3
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -250.2943    -261.2747      10.9804  1327.3
0.0010        -250.2955    -261.3712      11.0758  1338.8
0.0020        -250.2973    -261.4197      11.1225  1344.5
0.0030        -250.2997    -261.4148      11.1151  1343.6
0.0040        -250.3026    -261.3582      11.0556  1336.4
0.0050        -250.3060    -261.2596      10.9536  1324.1
0.0060        -250.3101    -261.1353      10.8252  1308.6
0.0070        -250.3150    -261.0054      10.6905  1292.3
0.0080        -250.3209    -260.8884      10.5675  1277.4
0.0090        -250.3280    -260.7956      10.4677  1265.3
0.0100        -250.3361    -260.7289      10.3929  1256.3
0.0100        -250.3361    -260.7289      10.3929  1256.3
0.0110        -250.3448    -260.6812      10.3364  1249.5
0.0120        -250.3538    -260.6410      10.2872  1243.5
0.0130        -250.3628    -260.5974      10.2346  1237.2
0.0140        -250.3717    -260.5435      10.1717  1229.6
0.0150        -250.3804    -260.4782      10.0977  1220.6
0.0160        -250.3890    -260.4062      10.0172  1210.9
0.0170        -250.3975    -260.3365       9.9390  1201.4
0.0180        -250.4059    -260.2801       9.8742  1193.6
0.0190        -250.4145    -260.2486       9.8341  1188.8
0.0200        -250.4233    -260.2516       9.8283  1188.1
0.0200        -250.4233    -260.2516       9.8283  1188.1
0.0210        -250.4324    -260.2953       9.8629  1192.2
0.0220        -250.4418    -260.3814       9.9395  1201.5
0.0230        -250.4517    -260.5074      10.0557  1215.5
0.0240        -250.4620    -260.6672      10.2052  1233.6
0.0250        -250.4729    -260.8523      10.3794  1254.7
0.0260        -250.4845    -261.0531      10.5686  1277.5
0.0270        -250.4969    -261.2598      10.7629  1301.0
0.0280        -250.5104    -261.4632      10.9528  1324.0
0.0290        -250.5252    -261.6546      11.1294  1345.3
0.0300        -250.5414    -261.8260      11.2845  1364.1
0.0300        -250.5414    -261.8260      11.2845  1364.1
0.0310        -250.5593    -261.9693      11.4100  1379.3
0.0320        -250.5790    -262.0770      11.4980  1389.9
0.0330        -250.6005    -262.1411      11.5406  1395.0
0.0340        -250.6238    -262.1542      11.5304  1393.8
0.0350        -250.6487    -262.1099      11.4612  1385.4
0.0360        -250.6750    -262.0039      11.3289  1369.4
0.0370        -250.7023    -261.8346      11.1322  1345.7
0.0380        -250.7303    -261.6039      10.8736  1314.4
0.0390        -250.7586    -261.3178      10.5593  1276.4
0.0400        -250.7867    -260.9863      10.1996  1232.9
0.0400        -250.7867    -260.9863      10.1996  1232.9
0.0410        -250.8142    -260.6226       9.8084  1185.6
0.0420        -250.8408    -260.2427       9.4019  1136.5
0.0430        -250.8664    -259.8636       8.9972  1087.6
0.0440        -250.8905    -259.5023       8.6118  1041.0
0.0450        -250.9132    -259.1749       8.2617   998.7
0.0460        -250.9343    -258.8958       7.9615   962.4
0.0470        -250.9541    -258.6771       7.7230   933.6
0.0480        -250.9726    -258.5274       7.5548   913.2
0.0490        -250.9900    -258.4507       7.4608   901.9
0.0500        -251.0064    -258.4459       7.4396   899.3
0.0500        -251.0064    -258.4459       7.4396   899.3
0.0510        -251.0219    -258.5061       7.4842   904.7
0.0520        -251.0366    -258.6197       7.5830   916.6
0.0530        -251.0504    -258.7717       7.7213   933.4
0.0540        -251.0632    -258.9464       7.8832   952.9
0.0550        -251.0751    -259.1286       8.0535   973.5
0.0560        -251.0859    -259.3054       8.2195   993.6
0.0570        -251.0959    -259.4675       8.3716  1012.0
0.0580        -251.1048    -259.6088       8.5040  1028.0
0.0590        -251.1130    -259.7274       8.6145  1041.3
0.0600        -251.1203    -259.8246       8.7042  1052.2
0.0600        -251.1203    -259.8246       8.7042  1052.2
