Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          -0.9174      -1.3762       0.4588   443.7
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          -0.9174      -1.3762       0.4588   443.7
0.0010          -0.9173      -1.3769       0.4596   444.5
0.0020          -0.9173      -1.3793       0.4620   446.8
0.0030          -0.9172      -1.3832       0.4661   450.7
0.0040          -0.9170      -1.3888       0.4718   456.3
0.0050          -0.9168      -1.3963       0.4795   463.7
0.0060          -0.9166      -1.4057       0.4891   473.0
0.0070          -0.9163      -1.4174       0.5011   484.6
0.0080          -0.9160      -1.4319       0.5159   498.9
0.0090          -0.9156      -1.4494       0.5338   516.2
0.0100          -0.9151      -1.4702       0.5551   536.8
0.0100          -0.9151      -1.4702       0.5551   536.8
0.0110          -0.9146      -1.4952       0.5806   561.5
0.0120          -0.9140      -1.5252       0.6113   591.1
0.0130          -0.9133      -1.5611       0.6479   626.5
0.0140          -0.9125      -1.6044       0.6919   669.1
0.0150          -0.9116      -1.6567       0.7451   720.6
0.0160          -0.9105      -1.7204       0.8099   783.2
0.0170          -0.9094      -1.7986       0.8892   859.9
0.0180          -0.9081      -1.8951       0.9870   954.5
0.0190          -0.9070      -2.0138       1.1067  1070.3
0.0200          -0.9069      -2.1550       1.2482  1207.0
0.0200          -0.9069      -2.1550       1.2482  1207.0
0.0210          -0.9102      -2.3051       1.3950  1349.0
0.0220          -0.9233      -2.4019       1.4787  1429.9
0.0230          -0.9470      -2.2641       1.3171  1273.7
0.0240          -0.9104      -1.6998       0.7894   763.4
0.0250          -0.8539      -1.4472       0.5933   573.7
0.0260          -0.9428      -2.0954       1.1526  1114.6
0.0270          -0.9321      -2.5242       1.5920  1539.6
0.0280          -0.9101      -2.5887       1.6786  1623.3
0.0290          -0.9014      -2.5320       1.6306  1576.8
0.0300          -0.8992      -2.4705       1.5713  1519.5
0.0300          -0.8992      -2.4705       1.5713  1519.5
0.0310          -0.8991      -2.4387       1.5396  1488.8
0.0320          -0.8998      -2.4442       1.5444  1493.5
0.0330          -0.9009      -2.4883       1.5874  1535.1
0.0340          -0.9022      -2.5714       1.6692  1614.2
0.0350          -0.9040      -2.6953       1.7912  1732.2
0.0360          -0.9070      -2.8603       1.9533  1888.9
0.0370          -0.9130      -3.0590       2.1461  2075.4
0.0380          -0.9255      -3.2553       2.3298  2253.0
0.0390          -0.9472      -3.3413       2.3941  2315.2
0.0400          -0.9473      -3.1580       2.2107  2137.9
0.0400          -0.9473      -3.1580       2.2107  2137.9
0.0410          -0.8929      -2.9795       2.0866  2017.8
0.0420          -0.9502      -3.5406       2.5904  2505.0
0.0430          -0.9942      -4.2793       3.2851  3176.9
0.0440          -1.0204      -4.5824       3.5620  3444.6
0.0450          -1.0642      -4.2359       3.1717  3067.2
0.0460          -0.9952      -3.1674       2.1722  2100.6
0.0470          -0.9476      -2.8200       1.8724  1810.7
0.0480          -1.0900      -3.8770       2.7870  2695.1
0.0490          -1.1029      -4.6315       3.5286  3412.3
0.0500          -1.0950      -4.7910       3.6960  3574.2
0.0500          -1.0950      -4.7910       3.6960  3574.2
0.0510          -1.1115      -4.7353       3.6238  3504.3
0.0520          -1.1461      -4.6443       3.4982  3382.9
0.0530          -1.1946      -4.4837       3.2890  3180.6
0.0540          -1.2316      -4.0781       2.8464  2752.6
0.0550          -1.1937      -3.5540       2.3604  2282.6
0.0560          -1.2536      -3.7590       2.5054  2422.8
0.0570          -1.3252      -4.3324       3.0072  2908.1
0.0580          -1.3512      -4.5933       3.2420  3135.2
0.0590          -1.3879      -4.5770       3.1891  3084.0
0.0600          -1.4239      -4.3520       2.9281  2831.6
0.0600          -1.4239      -4.3520       2.9281  2831.6
0.0610          -1.4292      -4.0708       2.6416  2554.5
0.0620          -1.4688      -4.1832       2.7145  2625.0
0.0630          -1.5410      -4.6637       3.1227  3019.8
0.0640          -1.5930      -5.0871       3.4942  3379.0
0.0650          -1.6547      -5.3359       3.6811  3559.8
0.0660          -1.7289      -5.3119       3.5830  3464.9
0.0670          -1.7274      -4.9622       3.2348  3128.2
0.0680          -1.8155      -5.0474       3.2320  3125.4
0.0690          -1.9166      -5.2305       3.3139  3204.7
0.0700          -1.8928      -5.0132       3.1204  3017.6
0.0700          -1.8928      -5.0132       3.1204  3017.6
0.0710          -1.9883      -5.2634       3.2751  3167.2
0.0720          -2.0618      -5.5913       3.5295  3413.1
0.0730          -2.1148      -5.6548       3.5400  3423.4
0.0740          -2.1792      -5.5533       3.3741  3262.9
0.0750          -2.2411      -5.3017       3.0607  2959.8
0.0760          -2.2766      -4.9359       2.6594  2571.7
0.0770          -2.3037      -4.7550       2.4513  2370.5
0.0780          -2.3727      -5.0195       2.6469  2559.7
0.0790          -2.4473      -5.4457       2.9984  2899.6
0.0800          -2.5100      -5.6765       3.1665  3062.1
0.0800          -2.5100      -5.6765       3.1665  3062.1
0.0810          -2.5646      -5.5961       3.0315  2931.6
0.0820          -2.5850      -5.3004       2.7154  2625.9
0.0830          -2.6171      -5.2605       2.6435  2556.4
0.0840          -2.6988      -5.6575       2.9587  2861.2
0.0850          -2.7555      -6.0561       3.3006  3191.8
0.0860          -2.8037      -6.3196       3.5158  3399.9
0.0870          -2.8585      -6.5413       3.6828  3561.4
