iter ,x_n,f(x_n),f'(x_n),f''(x_n),x_n+1,,iter ,x_n,f(x_n),f'(x_n),f''(x_n),x_n+1
0,5,-586.0833333,-972,-1296,4.25,,0,-5,-4832.75,5488,-5096,-3.923076923
1,4.25,-139.2208089,-313.9541016,-538.2070313,3.666666667,,1,-3.923076923,-1208.551221,1775.507893,-2114.104408,-3.083237658
2,3.666666667,-27.09878829,-100.8230453,-224.691358,3.217948718,,2,-3.083237658,-295.6351506,570.0315317,-883.673786,-2.438167564
3,3.217948718,0.555497233,-32.1432361,-94.41503547,2.87750256,,3,-2.438167564,-71.08013969,180.8131719,-373.6708852,-1.954284075
4,2.87750256,7.232169485,-10.15896262,-39.9713463,2.623346431,,4,-1.954284075,-17.85269733,56.3065541,-160.7260913,-1.603957916
5,2.623346431,8.804250378,-3.179861109,-17.05902957,2.436943032,,5,-1.603957916,-5.916905297,17.07467671,-70.75587509,-1.362639769
6,2.436943032,9.164382035,-0.985414889,-7.33916915,2.302675123,,6,-1.362639769,-3.440946397,5.00025201,-32.03797043,-1.206567086
7,2.302675123,9.244606367,-0.302455785,-3.180984059,2.207592665,,7,-1.206567086,-2.975641048,1.40683523,-14.93730462,-1.112384416
8,2.207592665,9.262012092,-0.092043778,-1.387550584,2.141257225,,8,-1.112384416,-2.897217719,0.380795563,-7.143706856,-1.059079378
9,2.141257225,9.265702024,-0.027812435,-0.608384209,2.095541977,,9,-1.059079378,-2.885272751,0.099918077,-3.480491054,-1.030371338
10,2.095541977,9.266469505,-0.008357109,-0.26781109,2.064336738,,10,-1.030371338,-2.883591259,0.025669381,-1.715780908,-1.015410581
11,2.064336738,9.266626783,-0.002500634,-0.118235782,2.043187187,,11,-1.015410581,-2.883366654,0.006511445,-0.851539777,-1.007763909
12,2.043187187,9.266658658,-0.000745971,-0.052309183,2.028926379,,12,-1.007763909,-2.88333757,0.001640182,-0.424150505,-1.003896927
13,2.028926379,9.266665067,-0.000222055,-0.023176245,2.019345253,,13,-1.003896927,-2.883333868,0.000411623,-0.211666276,-1.001952248
14,2.019345253,9.266666348,-6.60007E-05,-0.010278902,2.012924262,,14,-1.001952248,-2.8833334,0.000103105,-0.105730366,-1.000977075
15,2.012924262,9.266666603,-1.95972E-05,-0.004561938,2.008628459,,15,-1.000977075,-2.883333342,2.58014E-05,-0.052839424,-1.000488776
16,2.008628459,9.266666654,-5.81483E-06,-0.002025603,2.005757795,,16,-1.000488776,-2.883333334,6.45351E-06,-0.026413264,-1.000244448
17,2.005757795,9.266666664,-1.72455E-06,-0.000899696,2.003840978,,17,-1.000244448,-2.883333333,1.61377E-06,-0.013205019,-1.000122239
18,2.003840978,9.266666666,-5.11304E-07,-0.000399695,2.002561742,,18,-1.000122239,-2.883333333,4.03492E-07,-0.006602106,-1.000061123
19,2.002561742,9.266666667,-1.51562E-07,-0.000177592,2.001708314,,19,-1.000061123,-2.883333333,1.00879E-07,-0.003300952,-1.000030563
20,2.001708314,9.266666667,-4.492E-08,-7.89147E-05,2.001139092,,20,-1.000030563,-2.883333333,2.52206E-08,-0.001650451,-1.000015281
