Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2711.694    -2776.503       64.809   979.3
0.1036       201870.326     -242.687   202113.013  3053938.7
0.2073     33690544.433      488.079 33690056.354  509058596.6
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2708.709    -2776.503       67.793  1024.4
0.0010        -2708.750    -2776.201       67.451  1019.2
0.0020        -2708.827    -2775.306       66.479  1004.5
0.0030        -2708.931    -2773.841       64.910   980.8
0.0040        -2708.857    -2771.841       62.983   951.7
0.0050        -2708.855    -2769.353       60.498   914.1
0.0060        -2708.781    -2766.437       57.656   871.2
0.0070        -2708.909    -2763.168       54.259   819.9
0.0080        -2708.789    -2759.627       50.838   768.2
0.0090        -2708.729    -2755.897       47.168   712.7
0.0100        -2708.806    -2752.078       43.271   653.8
0.0110        -2708.920    -2748.265       39.345   594.5
0.0120        -2708.795    -2744.551       35.756   540.3
0.0130        -2708.811    -2741.030       32.218   486.8
0.0140        -2708.618    -2737.787       29.170   440.8
0.0150        -2708.662    -2734.889       26.227   396.3
0.0160        -2708.437    -2732.397       23.959   362.0
0.0170        -2708.302    -2730.361       22.059   333.3
0.0180        -2708.184    -2728.799       20.616   311.5
0.0190        -2708.156    -2727.718       19.561   295.6
0.0200        -2708.121    -2727.114       18.994   287.0
0.0210        -2707.966    -2726.980       19.015   287.3
0.0220        -2707.792    -2727.277       19.485   294.4
0.0230        -2707.617    -2727.975       20.358   307.6
0.0240        -2707.531    -2729.016       21.485   324.6
0.0250        -2707.333    -2730.334       23.001   347.5
0.0260        -2707.322    -2731.874       24.553   371.0
0.0270        -2707.320    -2733.566       26.247   396.6
0.0280        -2707.265    -2735.331       28.066   424.1
0.0290        -2707.137    -2737.120       29.984   453.1
0.0300        -2707.109    -2738.864       31.755   479.8
0.0310        -2706.770    -2740.529       33.759   510.1
0.0320        -2706.741    -2742.058       35.317   533.6
0.0330        -2706.659    -2743.397       36.738   555.1
0.0340        -2706.624    -2744.516       37.892   572.6
0.0350        -2706.639    -2745.386       38.746   585.5
0.0360        -2706.724    -2745.981       39.257   593.2
0.0370        -2706.704    -2746.302       39.598   598.3
0.0380        -2706.678    -2746.341       39.664   599.3
0.0390        -2706.543    -2746.109       39.566   597.8
0.0400        -2706.652    -2745.607       38.955   588.6
0.0410        -2706.610    -2744.858       38.248   577.9
0.0420        -2706.489    -2743.883       37.394   565.0
0.0430        -2706.471    -2742.704       36.233   547.5
0.0440        -2706.370    -2741.359       34.989   528.7
0.0450        -2706.279    -2739.881       33.603   507.7
0.0460        -2706.323    -2738.318       31.995   483.4
0.0470        -2706.402    -2736.702       30.300   457.8
0.0480        -2706.310    -2735.077       28.767   434.7
0.0490        -2706.136    -2733.472       27.335   413.0
0.0500        -2705.930    -2731.934       26.004   392.9
0.0510        -2706.076    -2730.506       24.430   369.1
0.0520        -2706.070    -2729.215       23.145   349.7
0.0530        -2706.068    -2728.098       22.030   332.9
0.0540        -2706.063    -2727.205       21.142   319.5
0.0550        -2706.063    -2726.556       20.493   309.6
0.0560        -2705.867    -2726.157       20.290   306.6
0.0570        -2705.941    -2726.027       20.086   303.5
0.0580        -2705.935    -2726.164       20.229   305.7
0.0590        -2705.827    -2726.566       20.739   313.4
0.0600        -2705.792    -2727.216       21.424   323.7
0.0610        -2705.827    -2728.107       22.280   336.6
0.0620        -2705.737    -2729.212       23.475   354.7
0.0630        -2705.710    -2730.494       24.784   374.5
0.0640        -2705.624    -2731.923       26.299   397.4
0.0650        -2705.457    -2733.454       27.997   423.0
0.0660        -2705.420    -2735.048       29.628   447.7
0.0670        -2705.484    -2736.646       31.162   470.9
0.0680        -2705.399    -2738.212       32.813   495.8
0.0690        -2705.204    -2739.694       34.490   521.1
0.0700        -2704.953    -2741.061       36.108   545.6
0.0710        -2704.876    -2742.263       37.387   564.9
0.0720        -2704.812    -2743.270       38.458   581.1
0.0730        -2704.714    -2744.054       39.340   594.4
0.0740        -2704.697    -2744.591       39.894   602.8
0.0750        -2704.588    -2744.878       40.290   608.8
0.0760        -2704.623    -2744.923       40.300   608.9
0.0770        -2704.529    -2744.726       40.197   607.4
0.0780        -2704.677    -2744.296       39.620   598.7
0.0790        -2704.804    -2743.659       38.855   587.1
0.0800        -2704.705    -2742.844       38.138   576.3
0.0810        -2704.414    -2741.886       37.473   566.2
0.0820        -2704.472    -2740.827       36.356   549.3
0.0830        -2704.554    -2739.714       35.160   531.3
0.0840        -2704.501    -2738.600       34.099   515.2
0.0850        -2704.511    -2737.512       33.001   498.6
0.0860        -2704.433    -2736.474       32.041   484.1
0.0870        -2704.202    -2735.537       31.335   473.5
0.0880        -2704.366    -2734.751       30.384   459.1
0.0890        -2704.403    -2734.142       29.739   449.4
0.0900        -2704.403    -2733.736       29.333   443.2
0.0910        -2704.339    -2733.552       29.213   441.4
0.0920        -2704.267    -2733.595       29.328   443.1
0.0930        -2704.189    -2733.876       29.687   448.6
0.0940        -2704.410    -2734.381       29.971   452.9
0.0950        -2704.381    -2735.090       30.709   464.0
0.0960        -2704.171    -2735.999       31.828   480.9
0.0970        -2704.030    -2737.082       33.053   499.4
0.0980        -2703.900    -2738.302       34.402   519.8
0.0990        -2704.071    -2739.618       35.547   537.1
0.1000        -2704.061    -2740.985       36.924   557.9
0.1010        -2704.091    -2742.365       38.275   578.3
0.1020        -2704.191    -2743.724       39.534   597.4
0.1030        -2704.282    -2745.024       40.743   615.6
0.1040        -2704.218    -2746.230       42.012   634.8
0.1050        -2704.085    -2747.319       43.235   653.3
0.1060        -2704.146    -2748.256       44.111   666.5
0.1070        -2704.030    -2749.025       44.995   679.9
0.1080        -2703.889    -2749.608       45.719   690.8
0.1090        -2703.566    -2749.996       46.430   701.6
0.1100        -2703.575    -2750.185       46.610   704.3
0.1110        -2703.424    -2750.165       46.741   706.3
0.1120        -2703.227    -2749.949       46.722   706.0
0.1130        -2703.219    -2749.543       46.324   700.0
0.1140        -2703.199    -2748.951       45.752   691.3
0.1150        -2703.087    -2748.192       45.104   681.5
0.1160        -2703.044    -2747.296       44.251   668.6
0.1170        -2703.153    -2746.299       43.146   651.9
