Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -20.3517     -20.9571       0.6054  2341.8
0.0010         -20.3517     -20.9560       0.6043  2337.7
0.0020         -20.3517     -20.9528       0.6011  2325.3
0.0030         -20.3517     -20.9475       0.5958  2304.7
0.0040         -20.3517     -20.9401       0.5884  2276.0
0.0050         -20.3517     -20.9306       0.5789  2239.3
0.0060         -20.3516     -20.9190       0.5674  2194.7
0.0070         -20.3516     -20.9055       0.5538  2142.3
0.0080         -20.3516     -20.8899       0.5383  2082.2
0.0090         -20.3516     -20.8725       0.5209  2014.8
0.0100         -20.3516     -20.8532       0.5016  1940.2
0.0110         -20.3516     -20.8321       0.4805  1858.7
0.0120         -20.3516     -20.8094       0.4577  1770.6
0.0130         -20.3516     -20.7850       0.4334  1676.5
0.0140         -20.3516     -20.7592       0.4076  1576.7
0.0150         -20.3516     -20.7321       0.3805  1472.0
0.0160         -20.3516     -20.7040       0.3524  1363.1
0.0170         -20.3516     -20.6749       0.3234  1250.8
0.0180         -20.3516     -20.6453       0.2938  1136.3
0.0190         -20.3515     -20.6154       0.2638  1020.6
0.0200         -20.3515     -20.5854       0.2339   904.9
0.0210         -20.3515     -20.5559       0.2044   790.5
0.0220         -20.3514     -20.5269       0.1756   679.1
0.0230         -20.3508     -20.4988       0.1480   572.6
0.0240         -20.3494     -20.4722       0.1229   475.3
0.0250         -20.3478     -20.4491       0.1013   391.8
0.0260         -20.3467     -20.4305       0.0838   324.3
0.0270         -20.3461     -20.4165       0.0703   272.1
0.0280         -20.3461     -20.4063       0.0602   232.9
0.0290         -20.3465     -20.3993       0.0529   204.5
0.0300         -20.3472     -20.3950       0.0478   185.0
0.0310         -20.3482     -20.3927       0.0445   172.3
0.0320         -20.3493     -20.3919       0.0426   164.9
0.0330         -20.3503     -20.3919       0.0416   161.0
0.0340         -20.3510     -20.3920       0.0410   158.6
0.0350         -20.3513     -20.3917       0.0405   156.5
0.0360         -20.3514     -20.3912       0.0398   153.9
0.0370         -20.3515     -20.3904       0.0389   150.5
0.0380         -20.3515     -20.3893       0.0378   146.4
0.0390         -20.3515     -20.3880       0.0365   141.4
0.0400         -20.3515     -20.3865       0.0351   135.6
0.0410         -20.3515     -20.3849       0.0334   129.1
0.0420         -20.3515     -20.3830       0.0315   122.0
0.0430         -20.3515     -20.3810       0.0296   114.3
0.0440         -20.3515     -20.3789       0.0274   106.2
0.0450         -20.3515     -20.3767       0.0252    97.6
0.0460         -20.3515     -20.3744       0.0230    88.8
0.0470         -20.3515     -20.3721       0.0206    79.8
0.0480         -20.3514     -20.3698       0.0183    70.8
0.0490         -20.3514     -20.3675       0.0160    61.9
0.0500         -20.3514     -20.3652       0.0138    53.2
0.0510         -20.3514     -20.3630       0.0116    44.8
0.0520         -20.3514     -20.3610       0.0095    36.8
0.0530         -20.3514     -20.3590       0.0076    29.4
0.0540         -20.3514     -20.3573       0.0059    22.6
0.0550         -20.3514     -20.3557       0.0043    16.6
0.0560         -20.3514     -20.3544       0.0030    11.4
0.0570         -20.3514     -20.3533       0.0018     7.1
0.0580         -20.3514     -20.3524       0.0010     3.8
0.0590         -20.3514     -20.3518       0.0004     1.5
0.0600         -20.3514     -20.3515       0.0001     0.2
0.0610         -20.3514     -20.3514       0.0000     0.1
0.0620         -20.3514     -20.3517       0.0002     0.9
0.0630         -20.3514     -20.3522       0.0007     2.9
0.0640         -20.3514     -20.3529       0.0015     5.9
0.0650         -20.3514     -20.3540       0.0025     9.8
0.0660         -20.3514     -20.3552       0.0038    14.7
0.0670         -20.3514     -20.3567       0.0053    20.5
0.0680         -20.3514     -20.3584       0.0070    27.0
0.0690         -20.3514     -20.3603       0.0088    34.2
0.0700         -20.3514     -20.3623       0.0109    42.0
0.0710         -20.3514     -20.3644       0.0130    50.3
0.0720         -20.3514     -20.3667       0.0152    58.9
0.0730         -20.3514     -20.3690       0.0175    67.8
0.0740         -20.3514     -20.3713       0.0199    76.8
0.0750         -20.3514     -20.3736       0.0222    85.8
0.0760         -20.3514     -20.3759       0.0245    94.7
0.0770         -20.3514     -20.3782       0.0267   103.4
0.0780         -20.3514     -20.3803       0.0289   111.7
0.0790         -20.3514     -20.3823       0.0309   119.6
0.0800         -20.3514     -20.3842       0.0328   126.9
0.0810         -20.3514     -20.3860       0.0346   133.7
0.0820         -20.3514     -20.3875       0.0361   139.7
0.0830         -20.3514     -20.3889       0.0375   145.0
0.0840         -20.3514     -20.3900       0.0386   149.5
0.0850         -20.3514     -20.3909       0.0396   153.1
0.0860         -20.3513     -20.3916       0.0403   156.0
0.0870         -20.3510     -20.3919       0.0409   158.2
0.0880         -20.3505     -20.3919       0.0415   160.4
0.0890         -20.3495     -20.3919       0.0423   163.7
0.0900         -20.3484     -20.3923       0.0439   169.8
0.0910         -20.3474     -20.3940       0.0467   180.5
0.0920         -20.3465     -20.3976       0.0511   197.7
0.0930         -20.3460     -20.4037       0.0576   223.0
0.0940         -20.3459     -20.4127       0.0668   258.4
0.0950         -20.3463     -20.4255       0.0792   306.2
0.0960         -20.3472     -20.4425       0.0953   368.7
0.0970         -20.3486     -20.4642       0.1156   447.1
0.0980         -20.3502     -20.4900       0.1397   540.6
0.0990         -20.3510     -20.5177       0.1667   644.8
0.1000         -20.3512     -20.5464       0.1952   755.1
0.1010         -20.3512     -20.5759       0.2246   868.9
0.1020         -20.3512     -20.6057       0.2545   984.5
0.1030         -20.3512     -20.6357       0.2845  1100.6
0.1040         -20.3512     -20.6655       0.3143  1215.9
0.1050         -20.3511     -20.6948       0.3436  1329.3
0.1060         -20.3511     -20.7233       0.3722  1439.6
0.1070         -20.3510     -20.7507       0.3997  1546.1
0.1080         -20.3510     -20.7770       0.4260  1647.8
0.1090         -20.3509     -20.8018       0.4509  1744.2
0.1100         -20.3509     -20.8251       0.4743  1834.6
0.1110         -20.3508     -20.8468       0.4960  1918.6
0.1120         -20.3507     -20.8666       0.5159  1995.8
0.1130         -20.3506     -20.8847       0.5341  2065.9
0.1140         -20.3505     -20.9008       0.5503  2128.6
0.1150         -20.3505     -20.9150       0.5646  2183.8
0.1160         -20.3504     -20.9272       0.5768  2231.3
0.1170         -20.3503     -20.9373       0.5871  2270.9
0.1180         -20.3502     -20.9454       0.5952  2302.5
0.1190         -20.3501     -20.9514       0.6013  2325.9
0.1200         -20.3500     -20.9552       0.6052  2341.2
0.1210         -20.3499     -20.9570       0.6071  2348.2
0.1220         -20.3498     -20.9565       0.6067  2347.0
0.1230         -20.3497     -20.9540       0.6043  2337.4
0.1240         -20.3496     -20.9493       0.5997  2319.6
0.1250         -20.3495     -20.9425       0.5930  2293.7
0.1260         -20.3494     -20.9336       0.5842  2259.6
0.1270         -20.3493     -20.9226       0.5733  2217.6
0.1280         -20.3492     -20.9096       0.5604  2167.6
0.1290         -20.3492     -20.8946       0.5455  2110.0
0.1300         -20.3491     -20.8777       0.5286  2044.9
0.1310         -20.3490     -20.8589       0.5099  1972.4
0.1320         -20.3489     -20.8383       0.4894  1892.9
0.1330         -20.3488     -20.8159       0.4671  1806.7
0.1340         -20.3487     -20.7919       0.4431  1714.1
0.1350         -20.3487     -20.7664       0.4177  1615.8
0.1360         -20.3486     -20.7395       0.3909  1512.2
0.1370         -20.3485     -20.7115       0.3630  1404.1
0.1380         -20.3485     -20.6826       0.3341  1292.4
0.1390         -20.3484     -20.6529       0.3045  1177.9
0.1400         -20.3483     -20.6229       0.2745  1061.9
0.1410         -20.3483     -20.5927       0.2444   945.5
0.1420         -20.3482     -20.5628       0.2146   830.1
0.1430         -20.3481     -20.5334       0.1853   717.0
0.1440         -20.3476     -20.5049       0.1572   608.2
0.1450         -20.3463     -20.4775       0.1312   507.4
0.1460         -20.3446     -20.4531       0.1085   419.7
0.1470         -20.3434     -20.4334       0.0900   348.1
0.1480         -20.3427     -20.4183       0.0756   292.4
0.1490         -20.3426     -20.4074       0.0648   250.5
0.1500         -20.3430     -20.3999       0.0569   220.2
0.1510         -20.3437     -20.3952       0.0515   199.4
0.1520         -20.3447     -20.3927       0.0481   186.0
0.1530         -20.3458     -20.3919       0.0461   178.3
0.1540         -20.3469     -20.3919       0.0450   174.3
0.1550         -20.3475     -20.3920       0.0444   171.9
0.1560         -20.3478     -20.3917       0.0439   169.7
0.1570         -20.3479     -20.3911       0.0431   166.9
0.1580         -20.3480     -20.3902       0.0422   163.2
0.1590         -20.3480     -20.3890       0.0410   158.7
0.1600         -20.3480     -20.3876       0.0396   153.2
0.1610         -20.3479     -20.3859       0.0380   147.0
0.1620         -20.3479     -20.3841       0.0362   139.9
