      Step     Time          Energy          fmax
BFGS:    0 20:54:05     -105.376253        0.657256
BFGS:    1 22:55:51     -105.418705        0.354127
      Step     Time          Energy          fmax
BFGS:    0 05:03:30     -105.376253        0.657525
BFGS:    1 07:16:10     -105.416804        0.354706
BFGS:    2 09:05:32     -105.436924        0.145012
BFGS:    3 11:46:04     -105.438710        0.096140
BFGS:    4 14:05:12     -105.446176        0.040754
BFGS:    5 15:26:06     -105.451752        0.039729
BFGS:    6 16:40:21     -105.457585        0.038984
BFGS:    7 19:25:07     -105.464641        0.038831
BFGS:    8 21:34:16     -105.474510        0.053395
BFGS:    9 23:29:30     -105.502395        0.048447
