Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2711.694    -2776.503       64.809   979.3
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2708.709    -2776.503       67.793  1024.4
0.0100        -2708.806    -2752.078       43.271   653.8
0.0200        -2708.121    -2727.114       18.994   287.0
0.0300        -2707.109    -2738.864       31.755   479.8
0.0400        -2706.652    -2745.607       38.955   588.6
0.0500        -2705.930    -2731.934       26.004   392.9
0.0600        -2705.792    -2727.216       21.424   323.7
0.0700        -2704.953    -2741.061       36.108   545.6
0.0800        -2704.705    -2742.844       38.138   576.3
0.0900        -2704.403    -2733.736       29.333   443.2
0.1000        -2704.061    -2740.985       36.924   557.9
0.1100        -2703.575    -2750.185       46.610   704.3
0.1200        -2703.166    -2742.963       39.798   601.3
0.1300        -2702.447    -2735.739       33.292   503.0
0.1400        -2702.111    -2740.624       38.513   581.9
0.1500        -2701.535    -2743.040       41.505   627.1
0.1600        -2700.847    -2735.028       34.181   516.5
0.1700        -2699.878    -2733.993       34.115   515.5
0.1800        -2698.903    -2740.033       41.130   621.5
0.1900        -2698.559    -2734.630       36.071   545.0
0.2000        -2697.834    -2727.437       29.603   447.3
0.2100        -2697.349    -2735.378       38.030   574.6
0.2200        -2696.519    -2744.717       48.198   728.3
0.2300        -2695.442    -2739.371       43.929   663.8
0.2400        -2694.835    -2730.900       36.065   544.9
0.2500        -2694.319    -2735.043       40.724   615.3
0.2600        -2693.868    -2740.204       46.336   700.1
0.2700        -2692.460    -2733.928       41.468   626.6
0.2800        -2691.919    -2727.714       35.795   540.9
0.2900        -2691.028    -2731.819       40.791   616.3
0.3000        -2690.803    -2734.429       43.626   659.2
0.3100        -2690.258    -2729.390       39.132   591.3
0.3200        -2689.686    -2728.494       38.807   586.4
0.3300        -2689.190    -2734.867       45.677   690.2
0.3400        -2688.963    -2735.730       46.766   706.6
0.3500        -2688.965    -2729.116       40.151   606.7
0.3600        -2688.088    -2727.774       39.686   599.7
0.3700        -2687.944    -2733.171       45.227   683.4
0.3800        -2687.517    -2733.295       45.778   691.7
0.3900        -2687.080    -2729.422       42.342   639.8
