Element,Reaction,T (K),DeltaG (kJ/mol),Phase
Ag,4Ag + O2 = 2Ag2O,480.0,-0.004184,
Al,4/3Al +O2 = 2/3Al2O3,932.0,-920.48,m
Al,4Al + O2 = 2Al2O(g),933.0,-542.0163499665551,
Al,4Al + O2 = 2Al2O(g),2000.0,-648.8908227424757,
Al,4/3Al +O2 = 2/3Al2O3,2345.0,-617.5584,M
Al,4/3Al +O2 = 2/3Al2O3,2736.0,-537.644,b
As,As +O2 = 1/2As2O4,585.0,-330.536,M
As,As +O2 = 1/2As2O4,730.0,-322.168,B
As,As +O2 = 1/2As2O4,886.0,-297.064,b
As,As +O2 = 1/2As2O4,2500.0,-66.944,
B,4/3B +O2 = 2/3B2O3,723.0,-717.556,M
B,4/3B +O2 = 2/3B2O3,2313.0,-468.608,m
Ba,2Ba + O2 = BaO,983.0,-928.8480000000001,m
Ba,2Ba + O2 = BaO,1895.0,-765.672,b
Ba,2Ba + O2 = BaO,2191.0,-665.256,M
Ba,2Ba + O2 = BaO,2500.0,-548.104,
Be,2Be + O2 = BeO,1556.0,-887.008,m
Be,2Be + O2 = BeO,2843.0,-669.44,M
Bi,4Bi3O4+O2 = 6Bi2O3,1098.0,-34.65308342857141,M
Bi,4Bi3O4+O2 = 6Bi2O3,1400.0,-59.610346949602096,
Bi,3/2Bi + O2 = 1/2Bi3O4,1400.0,-139.3272,
C,2C + O2 = 2CO,3400.0,-819.6456000000001,
C,C + O2 = CO2,3400.0,-401.2456,
C,2CO + O2 = CO2,3400.0,19.664800000000085,
Ca,2Ca + O2 = CaO,1123.0,-1041.816,m
Ca,2Ca + O2 = CaO,1756.0,-907.928,b
Ca,2Ca + O2 = CaO,2887.0,-489.528,M
Cd,2Cd + O2 = CdO,594.0,-401.664,m
Cd,2Cd + O2 = CdO,1040.0,-309.616,b
Cd,2Cd + O2 = CdO,1800.0,-0.004184,
Ce,4/3Ce +O2 = 2/3Ce2O3,1077.0,-991.6080000000001,m
Ce,2Ce2O3 + O2 = 4CeO2,1077.0,-457.72960000000006,
Co,2Co + O2 = 2CoO,1768.0,-173.636,m
Co,2Co + O2 = 2CoO,2078.0,-112.968,M
Co,2Co + O2 = 2CoO,2500.0,-50.208,
Cr,2Cr2O3 + O2 = 4CrO2,1660.0,171.37094852941155,M
Cr,4/3Cr +O2 = 2/3Cr2O3,2176.0,-376.56,m
Cr,4/3Cr +O2 = 2/3Cr2O3,2495.0,-324.26,b
Cr,4/3Cr +O2 = 2/3Cr2O3,2603.0,-315.892,M
Cs,4Cs + O2 = 2Cs2O,302.0,-523.0,m
Cs,4Cs + O2 = 2Cs2O,763.0,-351.456,M
Cs,4Cs + O2 = 2Cs2O,915.0,-305.432,B
Cs,4Cs + O2 = 2Cs2O,955.0,-301.248,b
Cu,4Cu + O2 = 2Cu2O,1357.0,-138.072,m
