Element,Reaction,T_start,T_end,DeltaH (kJ/mol),DeltaS (kJ/mol·K)
Al,4/3Al +O2 = 2/3Al2O3,932.0,2345.0,-1120.2839145081382,-0.21438188251946202
Al,4/3Al +O2 = 2/3Al2O3,2345.0,2736.0,-1096.840415345268,-0.20438465473145767
Al,4Al + O2 = 2Al2O(g),933.0,2000.0,-448.5637884858297,0.10016351712832298
As,As +O2 = 1/2As2O4,585.0,730.0,-364.2965517241381,-0.05771034482758633
As,As +O2 = 1/2As2O4,730.0,886.0,-439.64184615384676,-0.16092307692307753
As,As +O2 = 1/2As2O4,886.0,2500.0,-423.3876183395292,-0.14257744733581162
B,4/3B +O2 = 2/3B2O3,723.0,2313.0,-830.7568830188677,-0.15657106918239
Ba,2Ba + O2 = BaO,983.0,1895.0,-1104.7273947368426,-0.17892105263157923
Ba,2Ba + O2 = BaO,1895.0,2191.0,-1408.537945945945,-0.339243243243243
Ba,2Ba + O2 = BaO,2191.0,2500.0,-1495.9357152103566,-0.3791326860841426
Be,2Be + O2 = BeO,1556.0,2843.0,-1150.0505858585855,-0.169050505050505
Bi,4Bi3O4+O2 = 6Bi2O3,1098.0,1400.0,56.08557665782499,0.08263994543387647
Ca,2Ca + O2 = CaO,1123.0,1756.0,-1279.3455797788315,-0.21151342812006332
Ca,2Ca + O2 = CaO,1756.0,2887.0,-1557.5393174182138,-0.3699381078691421
Cd,2Cd + O2 = CdO,594.0,1040.0,-524.2570762331834,-0.2063856502242151
Cd,2Cd + O2 = CdO,1040.0,1800.0,-733.2953271578949,-0.40738396842105273
Co,2Co + O2 = 2CoO,1768.0,2078.0,-519.6393032258065,-0.19570322580645172
Co,2Co + O2 = 2CoO,2078.0,2500.0,-422.0089478672987,-0.14872037914691946
Cr,4/3Cr +O2 = 2/3Cr2O3,2176.0,2495.0,-733.314858934169,-0.16394984326018808
Cr,4/3Cr +O2 = 2/3Cr2O3,2495.0,2603.0,-517.5762962962983,-0.07748148148148223
Cs,4Cs + O2 = 2Cs2O,302.0,763.0,-635.3780650759217,-0.37211279826464205
Cs,4Cs + O2 = 2Cs2O,763.0,915.0,-582.4843684210515,-0.3027894736842094
Cs,4Cs + O2 = 2Cs2O,915.0,955.0,-401.1410000000024,-0.10460000000000255
Cu,4Cu + O2 = 2Cu2O,1357.0,1509.0,-324.83805263157933,-0.13763157894736863
Cu,4Cu + O2 = 2Cu2O,1509.0,2500.0,-235.01540665993946,-0.07810696266397579
Cu,Cu2O + O2 = 2CuO,1509.0,1609.0,-191.76919651466346,-0.13773430717729393
Dy,4/3Dy +O2 = 2/3Dy2O3,1680.0,2681.0,-1239.7192000000018,-0.1887780952380965
